sha256	git_ref	path	role
4850fff6ec31319050bef88961c44821f59a2229a757ceb10ce4877620882478	1dadbb04	AGENTS.md	upstream source declared by G176-G177
f0c045abf9810dc327d249d0df385cd7e8d6914eedfaf5b31c78d186eaa13d44	b5aa4af6	SIMPLE_METRIC_MACRO.md	upstream source declared by G176-G177
0bdac17398caa398e1a4db0a1a51f3a769449d802ad16c6c905fd794d826c3c2	b5aa4af6	archive/scaffolded_kernel_controls_2026-08-19/README.md	upstream source declared by G176-G177
3b7bef3e8027eb95dd9070cf8844bfbbba602d4a7ce30c1772bbc540f9e97bd7	b5aa4af6	udt_g166_primary_metric_ordered_pair_kernel_descent_2026-08-18/AUDIT_REPORT.md	upstream source declared by G176-G177
9e985bbd73a2ffe099a57257ea51778fff9ec75eb48721565faafaafd14edc62	b5aa4af6	udt_g166_primary_metric_ordered_pair_kernel_descent_2026-08-18/EXACT_DERIVATION.md	upstream source declared by G176-G177
c1a1f722e393e431b1b0805a7e2d5ad8e27813c48db989f824b76898bc499593	b5aa4af6	udt_g167_primary_metric_full_pair_pullback_orchestra_2026-08-18/AUDIT_REPORT.md	upstream source declared by G176-G177
e51704c01a72c546401e31f59ecf0b1881ee2c273324ccba2e4572fc7d01941d	b5aa4af6	udt_g167_primary_metric_full_pair_pullback_orchestra_2026-08-18/EXACT_DERIVATION.md	upstream source declared by G176-G177
cf841baec0ae9a3c4bcb212c615867ef299f65b55a54530ba41b1f2117968880	b5aa4af6	udt_g173_primary_metric_turning_chart_calibration_atlas_2026-08-19/EXACT_DERIVATION.md	upstream source declared by G176-G177
243974a928fd2f048875c01f822615971569b112444be45c219027d44586e0b4	b5aa4af6	udt_g174_native_calibrated_pair_germ_chart_ownership_2026-08-19/EXACT_DERIVATION.md	upstream source declared by G176-G177
1c6f01df3210c6483ae7875b5ec5773dea068c8bc12cc357a787aaab2ccc257f	b5aa4af6	udt_g175_relation_wide_calibration_equivalence_audit_2026-08-19/EXACT_DERIVATION.md	upstream source declared by G176-G177
39ebafd725f2eb8f0e8a0b2fcd6cf2a485c3c7fbfc7dde1582844f066aa88cb2	b5aa4af6	udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/ADOPTION_RECORD.md	banked G176-G177 evidence
c7c96194a8baf3465b2d8c58ff19051ee2937b4b7f7a5d0e8859ad1a26651d84	b5aa4af6	udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/AUDIT_REPORT.md	banked G176-G177 evidence
34ce043a5cc584f5e53d3d8fbed8d2e83d0acec72f166dbee0306f24d9cd82bd	b5aa4af6	udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/CATCH_PROOF_RESULT.json	banked G176-G177 evidence
d8bafa781eb780482c3be38625f68486f2c0cd1a73303295269b52a20fd486ba	b5aa4af6	udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/DERIVATION_RESULT.json	banked G176-G177 evidence
cbf3f9e87d2d60b7317b8bfae779e0b154b06f6305d62b3eb737505134e79ac4	b5aa4af6	udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/EVIDENCE_GATES.md	banked G176-G177 evidence
df53a5b3c52d0bd24496d060637dc158a4f2c7cdd17226c9446ea0d338d27831	b5aa4af6	udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/EXACT_DERIVATION.md	banked G176-G177 evidence
a69bdf88651c18020b1649f59f44a0d2a9d3331e394f3dcb6376c6913d43f760	b5aa4af6	udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/INDEPENDENT_VERIFICATION.json	banked G176-G177 evidence
ef4b70ae5931c71fdc6a122e884d7a1ce1cb1fd2b9ab1257e58af2cb9e3abe42	b5aa4af6	udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/LAY_REPORT.md	banked G176-G177 evidence
abc165b36e24729960d957a91d3975d79d942610041bec6d62db2162eaa48b1d	b5aa4af6	udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/PREREGISTRATION.md	banked G176-G177 evidence
330214b9b5a81ba5c000bfc43e93a0ceb6ca1af74d3ea501d09e9eed64510a58	b5aa4af6	udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/SOURCE_MANIFEST.tsv	banked G176-G177 evidence
faeb980ac55114d2597b210545b96a6b243e4332215422a948af16be4a3230d0	b5aa4af6	udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/STATUS_LEDGER.tsv	banked G176-G177 evidence
0e5138e1cc39b0ab192c5d238c3496a76bce70a829213a566d96898b3bcbfeee	b5aa4af6	udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/VERIFICATION_RESULT.json	banked G176-G177 evidence
576a303fa9a0b6acd017909c98c7fffa9f407a2ec8aaace6456607bd466da598	b5aa4af6	udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/derive_completed_pair_reciprocity.py	banked G176-G177 evidence
86dcd7de000ca1fd2787f5267bc3b75caee27b799c97d982bb1b76bc1674e788	b5aa4af6	udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/run_catch_proofs.py	banked G176-G177 evidence
636282fef0d91066ce47a09fbd60480181e14be96424f2480b1b043df2668882	b5aa4af6	udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/verify_completed_pair_reciprocity_independent.py	banked G176-G177 evidence
418ba028c61a4f008ee2b045e6f166a5eba07f6f00c376826a87c94faf753b3d	b5aa4af6	udt_g176_completed_pair_dual_reciprocity_consolidation_2026-08-19/verify_package.py	banked G176-G177 evidence
4907ee9a7f5efe613cc6ca4b3bcb75761881366b62bfd3d97b99ddbbb81c836e	b5aa4af6	udt_g177_completed_pair_kernel_scaffolding_regression_audit_2026-08-19/AST_DEPENDENCY_CENSUS.json	banked G176-G177 evidence
