id	path	locator	source_status	audit_use
S01	UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	Postulate and what is not decided	FOUNDATIONAL_POSTULATE_LOCKED	Local positive common scaling is calibration; derivative order time-live degrees and representative selection remain undecided.
S02	UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	Interpretation ledger and falsifiable core	OWNER_STATED_WORKING_PRINCIPLE	Bootstrap filters complete matter-bearing solutions and does not insert a local evolution or coupling law.
S03	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	Current honest result and particle/matter premise boundary	CURRENT_FRONTIER	No native lapse shift propagation transport boundary or time-live matter theorem is selected.
S04	udt_clock_ruler_soldering_selector_audit_2026-07-20/AUDIT_REPORT.md	Seal-local construction and open mu	VERIFIED_WITH_CAVEATS	Supplies conditional local clock/radial soldering and exact mixed invariant while leaving global transport open.
S05	udt_complete_lift_mu_closure_audit_2026-07-20/AUDIT_REPORT.md	Complete lift census and scientific consequence	IMMEDIATE_PARENT	All registered constant real isotropic lifts leave mu open; normalized transitions are mu-blind.
S06	udt_complete_lift_mu_closure_audit_2026-07-20/LIFT_CLASSIFICATION.tsv	All four rows	IMMEDIATE_PARENT	Freezes the tested lift matrices cross-block forms orientations and fixed/anti-fixed classes.
S07	complete_coframe_seal_involution_2026-07-20/AUDIT_REPORT.md	Complete lift ruling	VERIFIED_WITH_CAVEATS	No unique complete physical coframe action or executable time-on action is derived.
S08	complete_coframe_seal_involution_2026-07-20/COMPLETENESS_SCOPE.tsv	field transport time-on nonlinear solution space	VERIFIED_WITH_CAVEATS	Field transport is bounded time-on is partial and no stationary time-live or universe branch was sampled.
S09	udt_global_coframe_cocycle_audit_2026-07-20/AUDIT_REPORT.md	Transition theorem and global authority	VERIFIED_WITH_CAVEATS	Cocycle algebra constrains transition parity but does not select a cover connection or physical transport.
S10	finite_cell_seal_boundary_phase_join_2026-07-20/AUDIT_REPORT.md	Partial seal data and strongest mirror challenge	VERIFIED_WITH_CAVEATS	Static seal fixes one ratio datum while normal jets transverse data and boundary evolution remain open.
S11	metric_cartan_holonomy_audit_2026-07-19/AUDIT_REPORT.md	Cartan identities and global selection limit	VERIFIED_WITH_CAVEATS	Connection and curvature are derived from a supplied representative but identities do not choose a metric or evolution.
S12	projective_transport_section_selector_2026-07-19/AUDIT_REPORT.md	Propagation comparison selection split	VERIFIED_WITH_CAVEATS	Transport propagates supplied data and does not select the initial section or a physical tangent comparison law.
S13	c2_time_fiber_shift_jacobi_2026-07-20/AUDIT_REPORT.md	Scope and genuine-time caveat	VERIFIED_WITH_CAVEATS	One stationary conditional Jacobi shift is rigid; genuine time dependence nonlinear branches and physical wall remain open.
S14	bootstrap_csn_phi_angular_selector_2026-07-19/AUDIT_REPORT.md	Bootstrap placement census	VERIFIED_WITH_CAVEATS	Current after-solution bootstrap adds no local Euler operator or representative map.
S15	xmax_dynamic_observer_frame_2026-07-19/AUDIT_REPORT.md	Moving-frame connection	CONDITIONAL_MATHEMATICS_PHYSICAL_READING_WITHDRAWN_BY_PREMISE_RESET	Provides a comparison example that moving-frame connection terms can be pure gauge; not current Xmax observer physics authority.
S16	udt_premise_reset_audit_2026-07-19/AUDIT_REPORT.md	Corrected survivor ledger and Xmax ruling	CURRENT_CORRECTION_OVERLAY	Withdraws universal Xmax frame physics and retains its packages only as conditional mathematics.
S17	udt_time_extendability_constraint_audit_2026-07-20/PREREGISTRATION.md	Whole file	FROZEN_PREREGISTRATION	Freezes the bounded time-extendability question trajectories outcomes falsifiers and authority boundary.

