status_id	object	status	exact_scope	remaining_open
S01	reciprocal_screen_split_object	TYPED_EXACT	nondegenerate_metric_self_adjoint_rank2_projector	physical_realization
S02	full_isotropy_metric_selector	DERIVED_OBSTRUCTED	commutant_scalar_idempotent_ranks_0_or_4	domains_excluding_or_decorating_control
S03	round_complete_S3_selector	DERIVED_OBSTRUCTED	SO3_invariant_projector_ranks_0_1_3_4	additional_symmetry_breaking_data
S04	coframe_first_two_legs	CONDITIONAL_INPUT_NOT_METRIC_NATURAL	valid_if_coframe_labels declared_physical	whether UDT supplies such reduction
S05	query_bundle_tautological_plane	DERIVED_CONTAINER_NO_NATURAL_SECTION	total_ordered_pair_frame_bundle; smooth_sections_may_exist_but_projection_selects_none	spacetime_realization_rule
S06	phi_first_jet	INSUFFICIENT_FOR_RANK2	one_line_on_regular_nonnull_locus	physical_phi second_line and strata
S07	phi_second_jet	BRANCH_LOCAL_CONDITIONAL	timelike_dphi_needs_simple_spatial_line; spacelike_dphi_needs_simple_timelike_line	complex_null_Jordan_tied_null_zero_type_change_and_physical_phi
S08	Ricci_spectral_selector	DERIVED_BRANCH_LOCAL_POSITIVE	distinct_causal_eigenline_stratum	smooth_collision_glue and physical_branch
S09	squashed_S3_selector	DERIVED_BRANCH_LOCAL_POSITIVE_OFFSHELL	ultrastatic_time_plus_unoriented_simple_Ricci_line	on_shell selection and round_limit
S10	intrinsic_two_form_selector	DERIVED_BRANCH_LOCAL_POSITIVE	ker_W_rank2_on_six_nonzero_registered_loci	zero_graph and other_branches
S11	set_valued_tie_selector	DERIVED_NATURAL_SET	round_spatial_lines form_dim2_orbit	unique_realized_member
S12	holonomy_symmetry_gradient_bivector_routes	CONDITIONAL_OR_OPEN	typed_positive_strata recorded in selector atlas	complete_registered_witnesses and gluing
S13	whole_solution_nonlocal_route	ROUND_CONTROL_OBSTRUCTED_OTHER_BRANCH_CAPABILITY_OPEN	unique_natural_output_on_round_control_must_respect_SO3; no other registered_operation	positive_capability_on_less_symmetric_branches
S14	boundary_topology_routes	OPEN_NOT_CLASSIFIED	may_decorate_or_change_domain_but no registered_selector_operation	typed_native_operation
S15	global_smooth_fixed_rank_split	NOT_DERIVED	obstructed_on retained_round_and_defect controls	branch_domain or stratified ontology
S16	universal_future_no_go	NOT_CLAIMED	current theorem requires retained controls	future native law may change domain or data
S17	action_source_carrier_boundary_bootstrap_mass_dynamics	UNCHANGED_OPEN_OR_CONDITIONAL	excluded from metric_only audit	complete_physics
S18	overall_post_review	VERIFIED_WITH_CAVEATS_BOUNDED_METRIC_NATURAL_SELECTOR_ATLAS	PASS_WITH_REQUIRED_REPAIRS_then_REPAIRS_ACCEPTED	banking_and_navigation_only
