selector_id	selector_family	input_data	candidate_output	retained_degeneracy_or_control	preregistered_question
M00	zero_jet_metric	Lorentz_metric_and_orientation	rank2_metric_natural_projector	full_Lorentz_isotropy	can_any_nontrivial_projector_commute_with_full_isotropy
M01	coframe_presentation	chosen_orthonormal_coframe	span_of_first_two_legs	local_Lorentz_related_presentations	is_this_metric_natural_or_extra_physical_input
M02	founded_pair_query	total_ordered_pair_frame_query_bundle	tautological_pair_plane	absence_of_spacetime_section	does_container_existence_descend_to_realized_field
M03	phi_first_jet	metric_plus_physical_dphi	gradient_line_plus_orthogonal_complement	null_zero_and_type_changing_dphi	does_one_line_determine_a_rank2_reciprocal_plane
M04	phi_second_jet	metric_dphi_and_Hessian	gradient_line_plus_simple_screen_eigenline	Hessian_eigenvalue_collision_and_open_physical_phi_assignment	is_selector_only_branch_local
M05	Ricci_spectral	metric_and_Ricci_endomorphism	timelike_plus_spacelike_simple_eigenlines	round_spatial_eigenvalue_collision	construct_and_test_smooth_spectral_projector
M06	Riemann_Weyl_bivector	curvature_operator_on_bivectors	unique_real_simple_Lorentzian_eigenplane	conformally_flat_and_nondecomposable_or_tied_spectrum	classify_capability_without assuming existence
M07	joint_scalar_gradients	metric_and_two_or_more_curvature_scalar_gradients	nondegenerate_span	constant_invariant_and_collinear_gradient_loci	classify_rank_and causal failures
M08	Killing_symmetry	metric_intrinsic_isometry_algebra	unique_clock_and_ruler_lines	no_Killing_field_and_enhanced_symmetry_ties	separate unique symmetry data from arbitrary generator choice
M09	holonomy_reduction	Levi_Civita_holonomy_representation	unique_invariant_nondegenerate_rank2_subbundle	irreducible_or_round_1plus3_holonomy	classify parallel branch_local splittings
M10	intrinsic_two_form_kernel	metric_derived_W_on_registered_complete_cell	ker_W_equals_rank2_plane	W_zero_defect_graph_and_projector_blocked_controls	retain exact positive and obstruction loci
M11	round_complete_S3	ultrastatic_time_plus_round_spatial_metric	time_plus_metric_selected_spatial_line	spatial_SO3_isotropy	can_complete_registered_control select a ruler
M12	squashed_complete_S3	ultrastatic_time_plus_simple_Ricci_Hopf_line	time_plus_unoriented_Ricci_line	round_limit_and_off_shell_status	verify positive branch_local selector and collision
M13	whole_solution_nonlocal	complete_metric_and_global_spectrum_or_extremizer	global_plane_or_distribution	multiple_extrema_cut_loci_and_no_registered_operation	classify_as_open_not silently absent
M14	boundary_topology_completion	complete_cell_join_deck_and_boundary_data	global_reduction_or_section	unselected_completion_and_monodromy	can current records supply a selector
M15	set_valued_equivariant	metric_jets_with_symmetry_or_ties	orbit_or_set_of_rank2_planes	no_unique_smooth_member	can naturality survive without uniqueness
M16	rank_changing_atlas	metric_family_crossing_zero_tie_or_causal_strata	stratified_plane_data	projector_rank_change_and_gluing	is smooth fixed_rank N available globally
M17	action_or_dynamical_selector	chosen_action_equations_or_solution_stability	selected_response_plane	action_source_variation_domain_open	must remain excluded_downstream
