selector_id	family	positive_domain	obstruction_domain	ruling	certificate
M00	METRIC_ZERO_JET	NONE_UNIVERSAL	FULL_LORENTZ_ISOTROPY	UNIVERSAL_OBSTRUCTION_EXACT	NO_RANK2_IDEMPOTENT_IN_SCALAR_COMMUTANT
M01	COFRAME_PRESENTATION	YES_IF_SUPPLIED_AS_PHYSICAL_INPUT	LOCAL_LORENTZ_EQUIVALENCE	CONDITIONAL_INPUT_NOT_METRIC_SELECTOR	FIRST_TWO_LEGS_CHANGE_WITH_PRESENTATION
M02	QUERY_BUNDLE	TAUTOLOGICAL_ON_TOTAL_SPACE	NO_NATURAL_SPACETIME_SECTION_DERIVED	DERIVED_CONTAINER_NO_NATURAL_SECTION	SMOOTH_SECTIONS_EXIST_BUT_PROJECTION_SELECTS_NONE
M03	PHI_FIRST_JET	ONE_LINE_ON_REGULAR_NONNULL_LOCUS	RESIDUAL_SO3_OR_SO12_AND_NULL_ZERO_STRATA	FIRST_JET_INSUFFICIENT_FOR_RANK2	SECOND_LINE_NOT_SELECTED
M04	PHI_SECOND_JET	TIMELIKE_DPHI_PLUS_SIMPLE_SPATIAL_HESSIAN_LINE_OR_SPACELIKE_DPHI_PLUS_SIMPLE_TIMELIKE_LINE	EIGEN_COLLISION_COMPLEX_NULL_JORDAN_NULL_OR_ZERO_DPHI_TYPE_CHANGE_AND_OPEN_PHYSICAL_PHI	BRANCH_LOCAL_CONDITIONAL	CAUSAL_RESTRICTED_SPECTRAL_CONDITIONS_REQUIRED
M05	RICCI_SPECTRAL	YES_ON_DISTINCT_CAUSAL_EIGENLINE_STRATUM	ROUND_SPATIAL_COLLISION	BRANCH_LOCAL_POSITIVE_COLLISION_OBSTRUCTED	EXACT_POLYNOMIAL_PROJECTOR
M06	RIEMANN_WEYL_BIVECTOR	POSSIBLE_IF_UNIQUE_REAL_SIMPLE_DECOMPOSABLE_EIGENBIVECTOR	CONFORMALLY_FLAT_TIED_OR_NONSIMPLE_SPECTRUM	CONDITIONAL_CAPABILITY_NO_FROZEN_WITNESS	NOT_A_UNIVERSAL_SELECTOR
M07	JOINT_SCALAR_GRADIENTS	POSSIBLE_ON_RANK2_NONDEGENERATE_SPAN	CONSTANT_COLLINEAR_NULL_OR_DEGENERATE_LOCI	CONDITIONAL_CAPABILITY_NO_FROZEN_WITNESS	RANK_CHANGES_REQUIRE_ATLAS
M08	KILLING_SYMMETRY	POSSIBLE_WITH_UNIQUE_INTRINSIC_CLOCK_AND_RULER_LINES	NO_SYMMETRY_OR_ENHANCED_SYMMETRY_TIES	BRANCH_LOCAL_CONDITIONAL	GENERATOR_CHOICE_NOT_AUTOMATIC
M09	HOLONOMY_REDUCTION	POSSIBLE_WITH_UNIQUE_INVARIANT_NONDEGENERATE_RANK2_SUBSPACE	IRREDUCIBLE_OR_ROUND_1_PLUS_3_HOLONOMY	BRANCH_LOCAL_CONDITIONAL	PARALLELISM_STRONGER_THAN_METRIC_NATURALITY
M10	INTRINSIC_TWO_FORM_KERNEL	YES_ON_SIX_REGISTERED_NONZERO LOCI	ZERO_GRAPH_BLOCKED_AND_DEGENERATE_CONTROLS	BRANCH_LOCAL_POSITIVE_DEFECT_OBSTRUCTED	EXACT_DIM2_KERNEL_ON_NONZERO_LOCUS
M11	ROUND_COMPLETE_S3	TIME_LINE_ONLY	SPATIAL_SO3_ISOTROPY	NO_UNIQUE_RECIPROCAL_SPLIT	IDEMPOTENT_RANKS_0_1_3_4
M12	SQUASHED_COMPLETE_S3	TIME_PLUS_UNORIENTED_SIMPLE_RICCI_LINE	ROUND_LIMIT_AND_OFFSHELL_STATUS	BRANCH_LOCAL_POSITIVE_NOT_PHYSICAL	METRIC_SELECTED_LINE_NOT_PARALLEL
M13	WHOLE_SOLUTION_NONLOCAL	POSITIVE_CAPABILITY_ON_OTHER_BRANCHES_UNCLASSIFIED	ROUND_ISOTROPY_BLOCKS_UNIQUE_MEMBER_ON_CONTROL_AND_NO_OTHER_REGISTERED_OPERATION	ROUND_CONTROL_OBSTRUCTED_OTHER_BRANCH_CAPABILITY_OPEN	GLOBAL_NATURALITY_STILL_COMMUTES_WITH_ISOMETRY
M14	BOUNDARY_TOPOLOGY_COMPLETION	UNCLASSIFIED	UNSELECTED_COMPLETION_JOIN_AND_MONODROMY	OPEN_NO_TYPED_SELECTOR	CANNOT_BACKFILL_GLOBAL_SECTION
M15	SET_VALUED_EQUIVARIANT	YES_AS_ORBIT_ON_TIE_STRATA	NO_UNIQUE_SMOOTH_MEMBER	NATURAL_SET_NOT_REALIZED_SPLIT	ROUND_SPATIAL_LINES_FORM_DIM2_ORBIT
M16	RANK_CHANGING_ATLAS	STRATIFIED_DATA_ONLY	ZERO_TIE_CAUSAL_AND_PROJECTOR_RANK_CHANGE	NO_GLOBAL_SMOOTH_FIXED_RANK_FROM_CURRENT_DATA	GLUING_REMAINS_OPEN
M17	ACTION_OR_DYNAMICAL	DOWNSTREAM_IF_LATER_SUPPLIED	ACTION_SOURCE_VARIATION_OPEN	EXCLUDED_NOT_TESTED_AS_METRIC_SELECTOR	WOULD_CHANGE_THE_QUESTION
