contract_id	claim_under_test	pass_condition	falsifier	maximum_conclusion_if_pass
F01	full_isotropy_projector_obstruction	exact_commutant_scalar_and_no_rank2_idempotent	any_nontrivial_rank2_projector_commuting_with_all_Lorentz_generators	bounded_zero_jet_no_go
F02	round_S3_ruler_obstruction	SO3_commutant_has_only_ranks_0_1_3_4_among_idempotents	an_SO3_invariant_spatial_line_or_rank2_time_ruler_plane	registered_round_branch_no_unique_split
F03	Ricci_branch_local_positive	exact_polynomial_projector_rank2_on_distinct_spectrum_and_equivariance	projector_not_idempotent_not_self_adjoint_or_not_rank2	conditional_curvature_selector
F04	Ricci_collision_failure	spatial_projector_limit_depends_on_approach_or becomes_set_valued_at_round_locus	unique_SO3_natural_continuation_at_collision	no_universal_smooth_Ricci_selector
F05	phi_jet_scope	first_jet_supplies_at_most_one_line_and second_jet_requires_simple_spectrum	dphi_alone_naturally_selects_second_line_on_all causal strata	conditional_phi_jet_only
F06	intrinsic_form_scope	exact_registered_nonzero_kernel_and exact_zero_obstruction retained	global_nonsingular_kernel_plane_across_registered_graph	branch_local_intrinsic_selector
F07	query_section_distinction	tautological_plane exists on total query bundle but no section follows from projection	a_functorial_spacetime_section_constructed_without_extra data	container_not_realized_field
F08	candidate_completeness	all_18_rows_classified_exactly_once	missing_duplicate_or silently discarded control	bounded_atlas_complete
F09	independent_reconstruction	separate_stdlib_rational_checks reproduce load_bearing ranks and projectors	shared_import_or disagreement	verified_with stated caveats
F10	scope_language	universal obstruction explicitly conditional on retained domain and positives called branch_local	future_law_prohibited_or branch called physical	honest_maximum_conclusion
