catch_id	mutation	result
C01	missing_selector	PASS_REJECTED
C02	duplicate_selector	PASS_REJECTED
C03	discard_round_control	PASS_REJECTED
C04	promote_coframe_presentation	PASS_REJECTED
C05	query_bundle_becomes_section	PASS_REJECTED
C06	promote_phi_first_jet	PASS_REJECTED
C07	erase_Ricci_collision	PASS_REJECTED
C08	erase_intrinsic_defect	PASS_REJECTED
C09	promote_squashed_branch_physics	PASS_REJECTED
C10	universalize_partial_nogo	PASS_REJECTED
C11	set_valued_equals_member	PASS_REJECTED
C12	erase_rank_change	PASS_REJECTED
C13	import_action_selector	PASS_REJECTED
C14	alter_full_commutant_rank	PASS_REJECTED
C15	alter_round_projector_ranks	PASS_REJECTED
C16	lose_Ricci_equivariance	PASS_REJECTED
C17	lose_independent_method	PASS_REJECTED
C18	drop_universe_control	PASS_REJECTED
C19	erase_phi_second_jet_strata	PASS_REJECTED
C20	invent_bivector_witness	PASS_REJECTED
C21	invent_gradient_witness	PASS_REJECTED
C22	promote_Killing_generator	PASS_REJECTED
C23	promote_holonomy_parallelism	PASS_REJECTED
C24	promote_boundary_selector	PASS_REJECTED
C25	incomplete_repair_replay	PASS_REJECTED
