premise_id	object	status	role_in_audit	prohibited_promotion
P01	Lorentz_signature	pinned-by-THEORY	defines nondegenerate causal plane types	no preferred frame
P02	founded_reciprocal_character	DERIVED	fixes abstract clock_ruler eigencharacter	no realized spacetime section
P03	founded_phi_algebra	DERIVED_ADDITIVE_LOG_DEPTH	permits typed phi_jet candidates if physical assignment supplied	no universal local phi field
P04	physical_phi_assignment	OPEN	candidate input must remain conditional	no profile equation or source
P05	observer_frame_reciprocity	DERIVED_EQUIVARIANCE	selector must transform naturally	no fixed component plane in every frame
P06	complete_local_extension	DERIVED_CHART_CLASS	provides configuration arena	no propagating mode count or selected lift
P07	global_extension_after_N_Q	DERIVED_STANDARD_BUNDLE_FACT_CONDITIONAL_ON_SPLIT	defines why split is current gate	no derivation of N_Q
P08	strong_local_CSN	CHALLENGED_INACTIVE	excluded	no conformal quotient selector
P09	c_E_and_G_obs	OBSERVED_ANCHORS	units only in this dimensionless selector problem	no curvature or plane equation invented
P10	bootstrap	WORKING_ON_SHELL_ADMISSIBILITY	excluded from off_shell selector	no desired branch filter
P11	S2_carrier	POSIT	excluded	no carrier_backfilled angular plane
P12	action_source_boundary	OPEN_OR_CONDITIONAL	excluded downstream	no dynamical selection imported
P13	round_S3_control	CONDITIONAL_COMPLETE_ON_SHELL_SPATIAL_ULTRASTATIC	symmetry control	no universal universe claim
P14	squashed_S3_control	COMPLETE_HOMOGENEOUS_OFF_SHELL	positive Ricci_line control	no physical branch selection
P15	intrinsic_two_form_family	VERIFIED_BOUNDED_STATIONARY_OFF_SHELL	positive_locus_and defect control	no charge carrier or equation
P16	query_bundle	DERIVED_CONTAINER_NO_SECTION	tautological bundle control	no spacetime section by projection
P17	coframe_leg_labels	pinned-by-HABIT_IF_USED_AS_METRIC_OUTPUT	negative control	no metric naturality from presentation
P18	generic_nondegeneracy	free-and-explored	open stratum only	no deletion of collisions or zeros
