id	object_or_premise	status_after_census	exact_scope	forbidden_promotion
O01	complete twisted S3 family	SOURCE_CONDITIONAL_OFFSHELL_CONFIGURATION	C01-C06 frozen smooth R x S3 metrics	selected solution or universe
O02	intrinsic timelike clock line	DERIVED_CONDITIONAL_ON_NAMED_CONFIGURATION	curvature-fingerprint certificate in C01-C06	universal physical observer
O03	intrinsic spacelike ruler line	DERIVED_CONDITIONAL_ON_NAMED_CONFIGURATION	nonzero twist of the same intrinsic clock in C01-C06	universal carrier direction
O04	positive rank3 bundle E=u_perp	DERIVED_CONDITIONAL_ON_NAMED_CONFIGURATION	orthogonal complement of O02	celestial or particle carrier identity
O05	rank1 ruler projector P_n	DERIVED_CONDITIONAL_ON_NAMED_CONFIGURATION	sign-independent line projector on E	universal UDT projector
O06	rank2 screen Q	DERIVED_CONDITIONAL_ON_NAMED_CONFIGURATION	unique orthogonal complement of O05 in E	selected round target S2
O07	projected connection D	METRIC_CANONICAL_MATHEMATICS	D=projection of Levi-Civita to E/screen	physical observer-comparison law
O08	relative projector curvature	DERIVED_NONZERO_SOMEWHERE_CONDITIONAL_ON_CONFIGURATION	exact P00 rational witness for all six C01-C06	ambient curvature or global charge
O09	ambient holonomy preservation	REFUTED_ON_FROZEN_TWISTED_CONFIGURATIONS	full sampled so(1,3); exact nonparallel anchor	endpoint-only reciprocal lift
O10	parallel round-product control	DERIVED_ZERO_RESPONSE_CONTROL	lambda=+1 constant phi twist-free R x round S3	nontrivial founded-pair closure
O11	nonnull dphi projector	DERIVED_LOCAL_TYPED_STRATUM	nonzero nonnull dphi only	global branch or type-change continuation
O12	null/zero dphi projector	NOT_AVAILABLE	null numerator nilpotent; zero has no line	semisimple continuation
O13	dual-systole line	SET_VALUED_GLOBAL__UNIQUE_IN_TIE_FREE_CHAMBER	conditional integral torus lattice	unique line through symmetric tie
O14	celestial S2	CONDITIONAL_DERIVED_FIBER	conformal Lorentzian null-direction fiber	selected section or particle carrier
O15	projector path/loop response theorem	CONDITIONAL	previous exact identity after O05 is supplied	selected action
O16	S2 particle carrier	POSIT	comparison firewall only	derived from O06 or O14
O17	L2+L4 action	CONDITIONAL	readout only; not used to choose branch	metric-selected native matter action
O18	bootstrap	WORKING_ON_SHELL_ADMISSIBILITY	not used in this census	off-shell configuration promoted on shell
O19	strong local CSN	INACTIVE	no affirmative use	projector or scale selector
O20	c_E and G_obs	OBSERVED_ANCHORS	unchanged premise guards	branch/profile/lambda selection
O21	fresh external semantic review	OPEN_NOT_AUTHORIZED_FOR_THIS_PACKAGE	internal exact and independent implementations complete	settled native-vs-import verdict
