claim_id	claim	status	scope_or_limit
S01	all frozen discovery reports dispositioned	VERIFIED_WITH_CAVEATS	239 reports; content screening plus source-level core adjudication
S02	all discovery groups dispositioned	VERIFIED_WITH_CAVEATS	280 groups; mixed ROOT split across 283 individual hit paths
S03	all literal discovery hits dispositioned	VERIFIED_WITH_CAVEATS	4461 frozen-base paths; a mention is not a branch
S04	complete twisted S3 intrinsic ruler projector	DERIVED_CONDITIONAL_ON_NAMED_REGISTERED_CONFIGURATION	C01-C06 off-shell configurations only
S05	complete twisted S3 rank2 screen complement	DERIVED_CONDITIONAL_ON_NAMED_REGISTERED_CONFIGURATION	C01-C06 off-shell configurations only
S06	relative projector curvature nonzero	DERIVED_CONDITIONAL_ON_NAMED_REGISTERED_CONFIGURATION	exactly nonzero at P00 in all C01-C06; not an integral or dynamics
S07	ambient reciprocal grading parallel	REFUTED_ON_FROZEN_TWISTED_CONFIGURATIONS	full sampled Lorentz holonomy; path-labelled lift remains
S08	reduced-holonomy round-product projector	DERIVED_ZERO_RESPONSE_CONTROL	parallel clock-versus-all-space only; phi constant and twist zero
S09	global nonnull dphi projector	OPEN	local exact split; static compact and causal-transition obstructions retained
S10	unique toric shortest line through seal	REFUTED_IN_REGISTERED_SYMMETRIC_TIE	unordered set survives; extra swap glue unselected
S11	universal complete metric-selected projector	OPEN	positive complete off-shell family exists; other branch families fail or remain incomplete
S12	on-shell branch selection	OPEN	no complete native action/bootstrap law used
S13	S2 carrier emergence	OPEN	carrier remains POSIT; no identification made
S14	L2+L4 native action	CONDITIONAL	geometric response antecedent now realized on C01-C06; action selection absent
S15	fresh adversarial semantic review	OPEN	separate authorization required before settled banking
