catch_id	status
F01_missing_report	PASS
F02_duplicate_report	PASS
F03_missing_group	PASS
F04_duplicate_group	PASS
F05_missing_hit	PASS
F06_duplicate_hit	PASS
F07_root_path_hidden	PASS
F08_zero_relative_promotion	PASS
F09_ambient_holonomy_promotion	PASS
F10_incomplete_completion_promotion	PASS
F11_null_projector_promotion	PASS
F12_celestial_fiber_section_promotion	PASS
F13_supplied_plane_intrinsic_promotion	PASS
F14_parallel_control_nonzero_promotion	PASS
F15_carrier_backfill	PASS
F16_action_backfill	PASS
F17_source_hash_mutation	PASS
F18_relative_witness_mutation	PASS
F19_missing_twisted_branch	PASS
