path	top_group	git_blob	sha256	rule_ids	match_count	first_match_line	first_match_excerpt
AGENTS.md	ROOT	48f8acc54d1c64b874d16cecd619a7e3cfcaf5d1	6c74cf60246dfb2df2cb2c77b67bad72f15cc4532c2efa92d4e72e45b6fa3b71	D06	13	25	marked/current sections below; expand to full reports, scripts, JSON, logs, or historical layers only
ANGULAR_TORIC_HANDOFF_UPDATE_PREREG_2026-07-19.md	ROOT	bc4d50d9a2283f3665ed985e3a96c38c24bd36da	19f24688b7c7921ad991781096b4054e826b679380564f51f00c9bb60530b058	D06	4	1	# Angular–Toric Handoff Update — Preregistration
CANON.md	ROOT	ad53786250f6ec8a4740d9068e08d48e384999e3	f9ee32e2473b44407a813929e10547f66e378516e856697a7bca2226d9ef370b	D06	7	207	in the abstract. Reciprocity transverse to grad phi is vacuous (zero phi-difference =>
CLAUDE.md	ROOT	cbbe731ce8d4aa6fae1751d7fe888ba6ee99ed9a	14b52c09238940fbb5106675cb2d86f7f53755431594c343b2564900922fa2db	D06	3	50	involution, an imported count) that feel like facts, then building a clean
CODEX_ZERO_CONTEXT_STARTUP_REHEARSAL_2026-07-19.md	ROOT	56017ccdfe9295421e3ba7fa397f13e9a5fb3db4	941540d5763f876439836406188419cbdb55d794500eb464f98f03a81bdf1ee5	D06	1	52	global toric eigencap premises;
CODEX_ZERO_CONTEXT_STARTUP_REHEARSAL_PREREG_2026-07-19.md	ROOT	f0490e222096f490f95e205f37d46d6e801cd7e9	8462e4d3fd66293aa05dd2e6a6038a30af44f55a721a92921b07183712e992b1	D06	1	56	view; reserve full reports, scripts, JSON, and historical layers for task-specific follow-up.
COGNITIVE_CORRAL_TRIGGERS_SETUP.md	ROOT	9989eaea43c64a5b900102e4c3a5dc5fe3bda8a3	0d5a008470726a54745f5e35f94e27ef0d40554a9569b89d2e99a9c4e45f9fda	D06	2	231	- `HISTORICAL` — a closed arc; keep as record, flagged not-live.
CURRENT_SCIENTIFIC_PREMISES.md	ROOT	1a25dc1d354e0065c527374767f11aa9d06d62de	63fe502793db25c9ddbf078c393fecc449d43648984d63504b49a4b9fbe72491	D06	2	9	the file that makes a desired derivation easiest. Older files retain their exact historical and
CURRENT_SCIENTIFIC_PREMISES.tsv	ROOT	f923b077483c2d2ab5fde2697a6e63649d027dc6	69342e40bc69cb89022efa8a3c68db63214040e3efe0f001278d995cd4c7ec0f	D06	4	10	G09 S2_carrier POSIT POSIT CONDITIONAL_CARRIER_BRANCH_ONLY carrier emergence or replacement native carrier derived from celestial fiber or Hopf quotient native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md LIVE_THEN_THIS_REGISTRY_THEN_C
EXTERNAL_REVIEW_RETURN_2026-07-28_fresh_perspective.md	ROOT	4457e2baf0e3a71fe9a895a655e5f3e1aac508d2	23ffe02a2a4e5cd85766dc9670af14d762af3bb8cca5a68061b7fdec951b8ea7	D03;D06	2	72	| P2 response degeneracies + caps | AGREE | Needed regardless of the selector question. The rank/eigenline/invariant-subspace atlas, the coordinate-vs-orbit-type-vs-invariant sorting, and the `b→0` cap gluing (where `G3⁻¹X(G3)` is undefined
