id	premise	status_for_census	allowed_use	forbidden_promotion
P01	founded phi identity and reciprocal pair action	DERIVED_ACTIVE	define founded scalar channel and source provenance	complete 4D projector selected
P02	four-dimensional Lorentzian/coframe arena	INHERITED_OR_CONDITIONAL_BY_SOURCE	type branch objects exactly as their source states	physical universe or action selected
P03	branch metric/coframe formulas	SOURCE_CONDITIONAL	inspect and recompute within exact source premises	on-shell/native status upgraded
P04	coordinate chart or displayed coframe	PRESENTATION_ONLY	perform algebra with invariance check	coordinate line called intrinsic
P05	Levi-Civita connection	DERIVED_FROM_SUPPLIED_METRIC	ambient transport/control only	matter connection or response selected
P06	metric-derived spectral projector	FREE_AND_EXPLORED_CANDIDATE	test all registered endomorphism choices	preferred endomorphism assumed
P07	Killing-line projector	FREE_AND_EXPLORED_CANDIDATE	test intrinsic line and norm/zero strata	physical observer or carrier assumed
P08	nonnull dphi line/complement	CONDITIONAL_DERIVED_LOCAL_CANDIDATE	test causal strata and global continuation	universal positive-bundle carrier
P09	holonomy-invariant subbundle	FREE_AND_EXPLORED_CANDIDATE	compute actual registered holonomy preservation	reduced holonomy assumed
P10	toric orbit or involution eigenspace	SOURCE_CONDITIONAL_CANDIDATE	test descent and fixed strata	global lift or quotient selected
P11	celestial null-direction S2	CONDITIONAL_DERIVED_FIBER	retain as typed fiber candidate	section or round carrier derived
P12	rank-one projector P	FREE_CANDIDATE_NOT_ADOPTED	test only where a source derives/supplies it	universal carrier postulate
P13	S2 carrier	POSIT	comparison/firewall only	projector identified with adopted carrier
P14	L2+L4 response	CONDITIONAL	readout after projector gates only	projector selected because action benefits
P15	rank-one blindness	FREE_CANDIDATE_NOT_DERIVED	diagnostic only	Reciprocity said to imply it
P16	finite-cell completion	WORKING_SPLIT_BY_SOURCE	test exact registered caps/seams/quotients	unregistered global completion invented
P17	bootstrap	WORKING_ON_SHELL_ADMISSIBILITY	outer dependency gate only	local selector/equation or optimizer
P18	strong local CSN	INACTIVE	no affirmative use	projector/scale selection
P19	c_E and G_obs	OBSERVED_ANCHORS	premise guard only	projector or coefficient map
P20	branch physical labels	OPEN	prohibited during census	particle force macro family assignment
P21	pre-July material	PROVENANCE_OR_COUNTEREXAMPLE_ONLY	identify failures/imports only	affirmative UDT physics
P22	no-projector outcome	RETAINED	valid classification	failure hidden or branch discarded
