case_id	object_family	branch_type	candidate_classes	source_group	gate1_intrinsic	gate2_rank_uniqueness	gate3_smooth_local	gate4_transport_holonomy	gate5_global_descent	gate6_relative_curvature	ruling	source_path	source_sha256
B01	complete_twisted_S3_C01_C06_intrinsic_ruler	COMPLETE_GLOBAL_OFFSHELL_CONFIGURATION	C03;C09	udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27	PASS_METRIC_INTRINSIC	PASS_RANK1_UNIQUE_UNORIENTED_IN_FROZEN_FAMILY	PASS_GLOBAL_SMOOTH	PASS_COVARIANT_PROJECTED_CONNECTION__FAIL_AMBIENT_PARALLEL_HOLONOMY	PASS_RxS3_GLOBAL_DESCENT	PASS_NONZERO_AT_P00_ALL_6	DERIVED_CONDITIONAL_ON_NAMED_REGISTERED_CONFIGURATION	udt_twisted_s3_intrinsic_pair_witness_audit_2026-07-27/AUDIT_REPORT.md	150c98e46d666b58a573d194d4b2a60a228d29d3925e6fe27e1d5650e28efc25
B02	complete_twisted_S3_C01_C06_rank2_screen_complement	COMPLETE_GLOBAL_OFFSHELL_CONFIGURATION	C02;C09	udt_finite_cell_reciprocal_quotient_reduction_audit_2026-07-27	PASS_FROM_INTRINSIC_CLOCK_AND_RULER	PASS_RANK2_UNIQUE_COMPLEMENT	PASS_GLOBAL_SMOOTH	PASS_PROJECTED_O2_CONNECTION__FAIL_AMBIENT_PARALLEL_HOLONOMY	PASS_RxS3_GLOBAL_DESCENT	PASS_SAME_NONZERO_RELATIVE_TERM_AS_B01	DERIVED_CONDITIONAL_ON_NAMED_REGISTERED_CONFIGURATION	udt_finite_cell_reciprocal_quotient_reduction_audit_2026-07-27/AUDIT_REPORT.md	277855752d21e51cd5caf0abcc566ec747b46614394d4e0d8ca7d88a47dae2f3
B03	lambda_plus1_constant_depth_round_product_clock_line	COMPLETE_GLOBAL_OFFSHELL_CONTROL	C12	udt_reduced_holonomy_condition_audit_2026-07-27	PASS_METRIC_CLOCK_LINE	PASS_RANK1_CLOCK_ONLY	PASS_GLOBAL_SMOOTH	PASS_PARALLEL_SO3_REDUCED_HOLONOMY	PASS_RxS3	FAIL_ZERO_DP	PARALLEL_ZERO_RESPONSE_CONTROL	udt_reduced_holonomy_condition_audit_2026-07-27/AUDIT_REPORT.md	e6d9d41974c540e00ba8f1787576eccd4046b208ff15545cf0604bcfce6f7eab
B04	generic_lapse_static_S3_unique_clock_only	COMPLETE_GLOBAL_OFFSHELL_CONTROL	C03;C15	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27	PASS_METRIC_INTRINSIC_CLOCK	PASS_CLOCK_LINE__NO_SAME_METRIC_RULER_IN_PARENT	PASS_GLOBAL_SMOOTH	OPEN_PROJECTOR_RESPONSE_NOT_SOURCE_AUDITED	PASS_RxS3	OPEN_NOT_COMPUTED_FOR_CLOCK_ONLY	INCOMPLETE_FOR_POSITIVE_RANK3_RESPONSE	udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/AUDIT_REPORT.md	1e007a15b7071ebe2be45ad2f81a19c4d39a3c0617fe5cf65064ab6e076a976d
B05	nonnull_dphi_projector_and_3plus3_twoform_split	LOCAL_TYPED_STRATUM	C04	udt_complete_metric_intrinsic_object_audit_2026-07-23	PASS_FIELD_ASSISTED_INTRINSIC	PASS_NONNULL_STRATUM	PASS_UNTIL_NULL_OR_ZERO	PASS_TENSORIAL__PARALLELISM_NOT_FORCED	OPEN_OR_FAILS_AT_TYPE_CHANGE_AND_STATIC_COMPACT_CRITICAL_POINT	OPEN_NO_COMPLETE_BRANCH_RESPONSE	LOCAL_STRATUM_ONLY	udt_complete_metric_intrinsic_object_audit_2026-07-23/AUDIT_REPORT.md	923e6e4e7d9b6478f8b281f7d48f4fd46cd194c292a01540c46509ee6fc89776
B06	null_or_zero_dphi_stratum	DEGENERATE_LOCAL_CONTROL	C15	udt_complete_metric_intrinsic_object_audit_2026-07-23	FAIL_SEMISIMPLE_PROJECTOR	FAIL_NULL_NILPOTENT_OR_ZERO	FAIL_CONTINUATION	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NO_PROJECTOR_ON_STRATUM	udt_complete_metric_intrinsic_object_audit_2026-07-23/AUDIT_REPORT.md	923e6e4e7d9b6478f8b281f7d48f4fd46cd194c292a01540c46509ee6fc89776
B07	simple_spectrum_curvature_hessian_shape_lines	LOCAL_POINTWISE_FAMILIES	C01;C10	udt_metric_native_two_pair_selector_audit_2026-07-21	PASS_ONLY_AFTER_NAMED_OPERATOR	PASS_SIMPLE_SPECTRUM__FAIL_TIES_AND_OPERATOR_PRIORITY	PASS_WITHIN_SIMPLE_STRATUM	OPEN	OPEN_OR_FAILS_AT_DEGENERACY	OPEN	LOCAL_NONUNIQUE_OPERATOR_FAMILIES	udt_metric_native_two_pair_selector_audit_2026-07-21/AUDIT_REPORT.md	89f24a652001b5d4c0647c9ce5b6160580795b3d2c044fae538fc20596442279
B08	dual_systole_unique_shortest_line_chambers	GLOBAL_SET_VALUED_TORIC_FAMILY	C06;C11	udt_dual_systole_global_transport_audit_2026-07-24	PASS_GIVEN_INTEGRAL_TORUS_LATTICE	PASS_TIE_FREE_CHAMBER_ONLY	PASS_INSIDE_CHAMBER	PASS_PROJECTED_CONNECTION_COVARIANT	FAIL_SINGLE_LINE_AT_WALL_OR_EXCHANGE_WITHOUT_EXTRA_GLUE	OPEN	SET_VALUED_GLOBAL__SINGLE_LINE_LOCAL_CHAMBER	udt_dual_systole_global_transport_audit_2026-07-24/AUDIT_REPORT.md	a60dbce9e8908436b5038001be015c6a8b9d019cb74256cf63091f3f92f54582
B09	dual_systole_tie_pair_at_symmetric_seal	GLOBAL_SET_VALUED_CONTROL	C11	udt_dual_systole_wall_crossing_selector_audit_2026-07-24	PASS_UNORDERED_SET	FAIL_UNIQUE_MEMBER	PASS_SET_CONTINUATION	PASS_SET_EQUIVARIANCE	PASS_SET__FAIL_SINGLE_MEMBER	OPEN	SET_VALUED_ONLY	udt_dual_systole_wall_crossing_selector_audit_2026-07-24/AUDIT_REPORT.md	af46acd9d3a400861155762ee2ae4a7b1166b41ebf6a6810e5069ca50dc6a97a
B10	seal_involution_eigenspaces	CONDITIONAL_COMPLETION_FAMILIES	C07	complete_coframe_seal_involution_2026-07-20	FAIL_CURRENT_COMPLETE_COFRAME_ACTION_UNSELECTED	MULTIPLE_F_B_AND_ANGULAR_LIFTS	CONDITIONAL	CONDITIONAL	OPEN_COMPLETE_LIFT	OPEN	CONDITIONAL_ON_UNSELECTED_INVOLUTION	complete_coframe_seal_involution_2026-07-20/AUDIT_REPORT.md	30a63dbbc5f566a0ce763d5091fd0ab3c80aee48516c4b0f216d186e046c50ea
