top_group	tracked_paths	hit_files	match_count	rule_ids	audit_report	audit_report_sha256	first_commit	first_commit_date	last_commit	last_commit_date	scientific_disposition
ROOT	1127	283	2394	D03;D04;D05;D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	MIXED__SEE_PATH_LEVEL_DISPOSITIONS
angular_derivative_weight_selector_2026-07-20	34	15	1898	D03;D04;D05;D06	angular_derivative_weight_selector_2026-07-20/AUDIT_REPORT.md	26d5b09bbfac932c3982d6c1bc44e53ff6e9c901f5ae533b86f496bb6649de50	dc9aafa2d92db30594eafd28c50f99963472b61d	2026-07-20T09:13:01-04:00	dc9aafa2d92db30594eafd28c50f99963472b61d	2026-07-20T09:13:01-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
angular_toric_closure_selector_2026-07-19	19	15	87	D06	angular_toric_closure_selector_2026-07-19/AUDIT_REPORT.md	4e1178a7993a6f3f3e94713df27d0ab8c140b96ef613c5fa09099af72941cb8b	671206e94b9a842a919b014c1dc47ef0713e2964	2026-07-19T13:55:29-04:00	671206e94b9a842a919b014c1dc47ef0713e2964	2026-07-19T13:55:29-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
archive	345	160	827	D03;D04;D05;D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PROVENANCE_OR_HISTORICAL_ONLY
asymptotic_boundary_lineage_audit_2026-07-19	39	16	146	D04;D05;D06	asymptotic_boundary_lineage_audit_2026-07-19/AUDIT_REPORT.md	bf10dc2d525e26723ee2eb2eaacf368ad8546e76b0a8d3ba0d3baa0b9639d11d	ad9e9bd5c27e4bfe40defcc225f81f2806a1c9f9	2026-07-19T22:53:47-04:00	ad9e9bd5c27e4bfe40defcc225f81f2806a1c9f9	2026-07-19T22:53:47-04:00	CONTEXT_ONLY_NOT_BRANCH_SOURCE
bootstrap_csn_phi_angular_selector_2026-07-19	22	15	61	D06	bootstrap_csn_phi_angular_selector_2026-07-19/AUDIT_REPORT.md	9192fca92619508d9b14601a0e96d1ffdc0064893ea2c9e4f64609b3777b2fe0	d0b5d824432e1ac621d5e198e9ac490b265d2ea6	2026-07-19T16:55:51-04:00	d0b5d824432e1ac621d5e198e9ac490b265d2ea6	2026-07-19T16:55:51-04:00	SUPPORTING_OR_INCOMPLETE_BRANCH_SOURCE
boundary_bootstrap_representative_selector_audit_2026-07-19	27	7	720	D03;D04;D05;D06	boundary_bootstrap_representative_selector_audit_2026-07-19/AUDIT_REPORT.md	5b9fd3563e02ecd8907e0ac632412e3bb1784893c1a66ff2812724f23c71d25d	ff1df31c10303ae8deb8438f36ce66f76130c819	2026-07-19T23:54:55-04:00	ff1df31c10303ae8deb8438f36ce66f76130c819	2026-07-19T23:54:55-04:00	CONTEXT_ONLY_NOT_BRANCH_SOURCE
c2_angular_reduction_selector_2026-07-20	34	14	1819	D03;D04;D05;D06	c2_angular_reduction_selector_2026-07-20/AUDIT_REPORT.md	7801d73e9ec2b6690c0ca023fcdce4ed6c6d507f5feb340164d13c1975f58315	309e85fb51fd8d6562eb2ffd020ac3e5259fcdb7	2026-07-20T09:54:27-04:00	309e85fb51fd8d6562eb2ffd020ac3e5259fcdb7	2026-07-20T09:54:27-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
c2_coupled_reciprocal_twist_onshell_2026-07-20	23	4	7	D04;D05;D06	c2_coupled_reciprocal_twist_onshell_2026-07-20/AUDIT_REPORT.md	ac5cdce0b472ca84dd3df06cfa8736beb73937035f9cdf94aed2dd60d6074a46	8860d4229a4daaea358450df8ce53762e5502a21	2026-07-20T18:27:11-04:00	8860d4229a4daaea358450df8ce53762e5502a21	2026-07-20T18:27:11-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
c2_failed_basin_homotopy_2026-07-20	45	13	1823	D03;D04;D05;D06	c2_failed_basin_homotopy_2026-07-20/AUDIT_REPORT.md	70f469271759b7674229bb6a149d047a8ec767d9afd55f3a021e95fc6e16da9a	99c57d7800eee2f9f2ebabff34dc6d17a18ed847	2026-07-20T14:54:25-04:00	99c57d7800eee2f9f2ebabff34dc6d17a18ed847	2026-07-20T14:54:25-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
c2_finite_cell_boundary_variation_2026-07-20	36	9	1770	D03;D04;D06	c2_finite_cell_boundary_variation_2026-07-20/AUDIT_REPORT.md	6e9e21f806deb876e3fb63e815e0b0afd2434c8dc5c19686e8c6ab68dd9b8600	55a2c53daade7282526581f20360f57aecfec12d	2026-07-20T11:20:48-04:00	55a2c53daade7282526581f20360f57aecfec12d	2026-07-20T11:20:48-04:00	CONTEXT_ONLY_NOT_BRANCH_SOURCE
c2_intrinsic_angular_product_selector_2026-07-20	28	7	13	D04;D05;D06	c2_intrinsic_angular_product_selector_2026-07-20/AUDIT_REPORT.md	0eb60610a0a688f28b46cebb5074d6197ca35f02cfc47a88a929ac6c3d28d042	b36f31e8222bce02a9a32ce4861d79998a4fdc8c	2026-07-20T18:48:48-04:00	b36f31e8222bce02a9a32ce4861d79998a4fdc8c	2026-07-20T18:48:48-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
c2_nonlinear_stationary_solution_space_2026-07-20	41	16	1855	D03;D04;D05;D06	c2_nonlinear_stationary_solution_space_2026-07-20/AUDIT_REPORT.md	3fba215cf9a7382accec44fbedf3b78b4c1f10d25ad0fcf785269f33e633c895	33eaed961d4601019ee59df5ee8aa59fdc105353	2026-07-20T12:38:46-04:00	33eaed961d4601019ee59df5ee8aa59fdc105353	2026-07-20T12:38:46-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
c2_open_path_checkpoint_continuation_2026-07-20	39	7	17	D04;D05;D06	c2_open_path_checkpoint_continuation_2026-07-20/AUDIT_REPORT.md	ce3ab2c0324f2e2bcb42cf33f62510e8f25a7109d0a9c36d00e71f305b23921a	ee5690c49f27d230e5b802d08af9e36b5213f5ae	2026-07-20T17:39:52-04:00	ee5690c49f27d230e5b802d08af9e36b5213f5ae	2026-07-20T17:39:52-04:00	SUPPORTING_OR_INCOMPLETE_BRANCH_SOURCE
c2_reciprocal_transverse_twist_jacobi_2026-07-20	24	7	13	D04;D06	c2_reciprocal_transverse_twist_jacobi_2026-07-20/AUDIT_REPORT.md	1fd79c09b8add3dde80ac5728aad9b3fc866b120b7ed42347cf7dd9d9df257a0	2d2809ca7c83d9262d8db99d7962806c9487dfff	2026-07-20T18:15:04-04:00	2d2809ca7c83d9262d8db99d7962806c9487dfff	2026-07-20T18:15:04-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
c2_rigidity_three_route_zoomout_2026-07-20	36	5	1765	D03;D04;D06	c2_rigidity_three_route_zoomout_2026-07-20/AUDIT_REPORT.md	d57377805d97f3a802f1e87e0746c70087c32138b45bd374fb2145baaae08f8a	eb06c7b5157ffb893ee3e6cd1d10de0816a07e3a	2026-07-20T11:06:49-04:00	eb06c7b5157ffb893ee3e6cd1d10de0816a07e3a	2026-07-20T11:06:49-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
c2_time_fiber_shift_jacobi_2026-07-20	34	6	1766	D03;D04;D06	c2_time_fiber_shift_jacobi_2026-07-20/AUDIT_REPORT.md	93b37d3e840c3b7854acdd36bbfa14d87661d26c1f38b31972c4bec89d3af47c	f68c51aa79d65805da23fc5845576f87ef310d4f	2026-07-20T10:51:13-04:00	f68c51aa79d65805da23fc5845576f87ef310d4f	2026-07-20T10:51:13-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
c2_transverse_coframe_closure_2026-07-20	31	11	26	D04;D05;D06	c2_transverse_coframe_closure_2026-07-20/AUDIT_REPORT.md	3b938f3db946695df8cb080b06aa9310eae5ace3dd45f9de033dfbd735b8cee3	2e4153eb0964def7c545922512e7d86dfc41ec86	2026-07-20T21:34:43-04:00	2e4153eb0964def7c545922512e7d86dfc41ec86	2026-07-20T21:34:43-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
c2_variable_lapse_selector_2026-07-20	34	14	1804	D03;D04;D05;D06	c2_variable_lapse_selector_2026-07-20/AUDIT_REPORT.md	f469c03d09c54b0aae957ac657fe15090e25069d86b15470f71f0d50b5c9622b	61f6bc01e5732b3bc59120d506bd6b2716646369	2026-07-20T10:14:52-04:00	61f6bc01e5732b3bc59120d506bd6b2716646369	2026-07-20T10:14:52-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
clock_curvature_selector_audit_2026-07-19	23	4	7	D04;D05;D06	clock_curvature_selector_audit_2026-07-19/AUDIT_REPORT.md	4b41149cabf6ceb735c6a5b43847c0434572ecf19b8cd386d29ad12a7536de0a	77e29de0f41e27e1837fe8d93ce5d3aa730bf838	2026-07-19T23:29:32-04:00	77e29de0f41e27e1837fe8d93ce5d3aa730bf838	2026-07-19T23:29:32-04:00	CONTEXT_ONLY_NOT_BRANCH_SOURCE
complete_coframe_seal_involution_2026-07-20	37	24	1901	D03;D04;D06	complete_coframe_seal_involution_2026-07-20/AUDIT_REPORT.md	30a63dbbc5f566a0ce763d5091fd0ab3c80aee48516c4b0f216d186e046c50ea	786d00a05a4475fcd8495645d39ee2897f5185b3	2026-07-20T11:55:24-04:00	786d00a05a4475fcd8495645d39ee2897f5185b3	2026-07-20T11:55:24-04:00	SIX_GATE_SOURCE
copresence_causal_accessibility_selector_2026-07-19	19	1	2	D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SUPPORTING_OR_PROVENANCE_NOT_STANDALONE_BRANCH
copresence_gr_constraint_regrade_2026-07-19	21	1	1	D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SUPPORTING_OR_PROVENANCE_NOT_STANDALONE_BRANCH
finite_cell_seal_boundary_phase_join_2026-07-20	37	15	1799	D03;D04;D05;D06	finite_cell_seal_boundary_phase_join_2026-07-20/AUDIT_REPORT.md	783f8d369d73ab6faa2bd97b0e38654173173f886197cac38b688b6a459b7051	5b1b57297bcceb5f8806b1ee238ac2ed2ccfcee3	2026-07-20T11:34:49-04:00	5b1b57297bcceb5f8806b1ee238ac2ed2ccfcee3	2026-07-20T11:34:49-04:00	SUPPORTING_LOCAL_OR_CONTEXT_SOURCE
grok	44	11	42	D05;D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SUPPORTING_OR_PROVENANCE_NOT_STANDALONE_BRANCH
h4_scripts	28	10	40	D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SUPPORTING_OR_PROVENANCE_NOT_STANDALONE_BRANCH
hopfion_arc_scripts_2026-07-05	22	1	1	D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SUPPORTING_OR_PROVENANCE_NOT_STANDALONE_BRANCH
hygiene_baseline_correction_2026-07-23	18	3	9	D03;D04;D06	hygiene_baseline_correction_2026-07-23/AUDIT_REPORT.md	64724466c71816e5e50e7df0c1b2e35f293ad8445a0ace43f1361f24e16dd719	d4c6b126bdb663ebaaa6f3c564f4b9d1c9daddfe	2026-07-23T08:35:50-04:00	d4c6b126bdb663ebaaa6f3c564f4b9d1c9daddfe	2026-07-23T08:35:50-04:00	CONTEXT_ONLY_NOT_BRANCH_SOURCE
infinite_c_reciprocity_adjudication_2026-07-18	17	12	36	D03;D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SUPPORTING_OR_PROVENANCE_NOT_STANDALONE_BRANCH
invariant_reciprocal_causal_flow_2026-07-18	16	5	5	D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	SUPPORTING_OR_PROVENANCE_NOT_STANDALONE_BRANCH
legacy	1090	271	1024	D03;D04;D06	-	-	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PROVENANCE_OR_HISTORICAL_ONLY
