arm_or_record	source_file	exact_locator	hidden_premise_or_import	effect	controller_verdict	repair_status
Arm A	/stage1/arm_A/cold_output/D0_D5.md	D1.1 lines 25-31	A four-dimensional product chart M=I times Sigma and preferred slicing are introduced.	Would restrict topology/foliation if treated physically.	ACTUALLY-CHOSEN	Repaired in place by explicit WORKING/OPEN labels.
Arm A	/stage1/arm_A/cold_output/D0_D5.md	D2.2 CMW lines 211-223	Metric-only local 4D covariance, parity-even C2 dynamics and unrestricted variation.	Creates a Bach theory not forced by positional dilation.	ACTUALLY-CHOSEN	Correctly labeled CHOSEN; boundary/solution incompleteness remains open.
Arm A	/stage1/arm_A/cold_output/D0_D5.md	D2.2 CMW+4 lines 224-259	Phi is an independent Weyl-weight-zero scalar with free coefficients and a chosen matter source.	Creates an additional CSN action and source channel.	ACTUALLY-CHOSEN	Correctly labeled; complete constraint/global solution remains open.
Arm A	/stage1/arm_A/cold_output/D0_D5.md	D2.2 CM0 line 210	No explicit stationarity premise is treated as enough to make no equations a complete countermodel.	Overstates countermodel admissibility and bypasses solution/global gates.	UNDETERMINED	Not repaired in Stage I; Arm-C bounds the missing completion.
Arm A	/stage1/arm_A/cold_output/D0_D5.md	D2.3 Step C2 lines 269-311	Minimal Lorentz-covariant S2 completion, sqrt(-g) measure, signature, multiplier and independent metric variation.	Produces one stress tensor and rho+S channel.	ACTUALLY-CHOSEN	Legitimate conditional comparison; CSN L2 compensator/post-scale and full solution remain open.
Arm A	/stage1/arm_A/cold_output/D0_D5.md	D2.3 line 311	A compensator of weight -1 is proposed.	Repairs L2 Weyl weight by adding a new field/dynamics.	ACTUALLY-CHOSEN	Explicitly labeled live fork; not promoted.
Arm A	/stage1/arm_A/cold_output/D0_D5.md	D2.4 lines 353-360	A scalar Gauss flux is named a charge after a chosen p=4 action.	Could be mistaken for gravitational mass.	ACTUALLY-CHOSEN	Repaired in prose: explicitly not mass.
Arm A	/stage2/arm_A/D6_RETURN/D6.md	D6.3 lines 166-182	A particular reciprocal representative and directional decomposition place an e^-2phi factor on selected channels; generic direct weights are then allowed.	Demonstrates source freedom only within that chosen decomposition.	ACTUALLY-CHOSEN	Certification limit stated; CSN admissibility of weights remains open.
Arm A	/stage2/arm_A/D6_RETURN/D6.md	D6.3 Step 7 lines 198-200	A mass readout is assumed to require resolution of the entire Q1 action rather than a possibly shared static sourced sector.	Turns current incompleteness into an unproved priority no-go.	UNDETERMINED	Not repaired; Arm-C retains the controller's ahead-of-Q1 fork.
Arm B	/stage1/arm_B/cold_output/D0_D5.md	D2.3 lines 193-246	Representative measure, scalar field, local derivative inventory or bilocal kernel are chosen.	Creates illustrative action branches without complete-foundation solutions.	ACTUALLY-CHOSEN	Labels are honest; completeness remains open.
