claim_id	source_file	locator	normalized_claim	original_status	verdict	indicted_step	foundation_coverage	strongest_counterderivation	cas_evidence	closure_needed	notes
A-KIN-01	/stage1/arm_A/cold_output/D0_D5.md	D2.1 Step K1, lines 163-170	The supplied dual-pairing formalization forces uv=1.	FORCED-BY	CONFIRMED-FORCED	None; force comes from founding dual Reciprocity, not Reciprocal-c alone.	H2, Reciprocal-c, dual pairing covered; positivity used for the trivial intersection.	Ordinary u=v fails the full ledger except u=v=1.	Arm-A cas_reciprocity; Arm-C unique-action script does not revisit this matrix multiplication.	No closure needed inside the supplied faithful formalization.	Does not establish uniqueness of the formalization beyond C1's stated faithful choice.
A-KIN-02	/stage1/arm_A/cold_output/D0_D5.md	D2.1 Step K2, lines 172-184	Composition and regularity force reciprocal exponentials up to sign/unit.	FORCED-BY / CONDITIONAL	CONFIRMED-FORCED	Regularity, positivity, additive depth, and the sign/unit convention must travel with the claim.	H2 hierarchy correctly retained; observed nontriviality does not remove phi=0.	Without regularity pathological Cauchy representations reopen; without dual Reciprocity exponents need not be opposite.	Arm-A cas_reciprocity.	Specify which regularity axiom for a theorem-level statement.	Forced only conditionally on explicit POSIT premises.
A-MAP-01	/stage1/arm_A/cold_output/D0_D5.md	D1.1 and D1.3, lines 25-31, 65-90	The full fields, action, equations, boundary, topology, dynamics, branches, stability and regime are not supplied.	OPEN ledger	CONFIRMED-FORCED	No indicted inference; this is an accurate completeness census.	All completeness dimensions are separately exposed.	The C^2 and EH classification routes narrow only after extra premises.	None needed; logical ledger claim.	Additional founding content selecting a domain and action.	The product M=I×Sigma is explicitly WORKING, not forced.
A-ACT-01	/stage1/arm_A/cold_output/D0_D5.md	D2.2 Step A1 and D4.1, lines 208-261, 438-443	The complete foundation does not select action existence or a unique action.	FORCED-BY; UNDERDETERMINED	UNDETERMINED	Arm A's conclusion survives, but its displayed CM0/CMW/CMW+4 are not complete-foundation countermodels: no global solution, X_max/bootstrap realization, full boundary data, or constraint completion is constructed.	Foundation omissions covered; complete solution/domain gates are not covered by the examples.	Conditional C^2 uniqueness is the strongest attack; it fails at metric-only, locality, covariance, parity and derivative-order premises.	cas_armc_unique_action_weights.py; cas_armc_boundary_charge.py.	A new founding action/domain rule or two complete admissible global theories would decisively close the meta-fork.	Underdetermination is supported by non-entailment and conditional families, not by a fully solved countermodel.
A-CM0-01	/stage1/arm_A/cold_output/D0_D5.md	D2.2 CM0, line 210	A no-action/no-operator branch is an admissible complete countermodel.	Admissible countermodel	UNDETERMINED	The jump from no stationarity postulate to a complete countermodel omits full equations/update law, a realized nontrivial solution, matter-bearing global selection, X_max and boundary/domain completion.	Kinematics only; global and solution gates absent.	A nonvariational completion can be constructed in principle, but must specify equations and global selection rather than declare none.	No finite algebra can certify model completeness.	Construct a coordinate-neutral finite-cell nonvariational theory with a nontrivial solution and all global gates.	CM0 still refutes the claim that C0/C1 explicitly postulate stationarity; it does not by itself refute every implicit dynamics route.
A-C2-01	/stage1/arm_A/cold_output/D0_D5.md	D2.2 CMW, lines 211-223	Weyl C^2 is a distinct CSN-respecting fourth-order action with Bach bulk equation.	CHOSEN	ACTUALLY-CHOSEN	Metric-only fields, 4D covariance/locality, parity and unrestricted variation are added; finite-cell differentiability and a solution are not supplied.	CSN bulk gate covered; reciprocal constraint, matter, boundary, global solution and stability gates open.	Inside the named curvature-square class C^2 is unique modulo Euler/boundary, which attacks broad nonuniqueness but not foundation-level uniqueness.	cas_armc_unique_action_weights.py.	Boundary completion, constraint implementation, matter trace/source, nontrivial finite-cell Bach solution and global closure.	Correct conditional comparison, incomplete as full countermodel.
A-X2-01	/stage1/arm_A/cold_output/D0_D5.md	D2.2 CMW+4, lines 224-259	A weight-zero scalar X^2 term is 4D CSN invariant and yields a p=4 source equation and traceless stress.	CHOSEN	ACTUALLY-CHOSEN	Independent weight-zero phi, scalar status, coefficient signs, source sector and variation domain are choices; Bach-plus-scalar full solution is absent.	Weyl weight and local variation covered; kinematic constraint/global/boundary/solution gates incomplete.	Exact pre-scale CSN permits X^2, so C^2 is not unique once an independent scalar is allowed.	cas_armc_unique_action_weights.py; Arm-A p4 scripts.	Derive phi's off-shell status and weight, coefficients, coupling, boundary data and a full solution.	Algebra survives; countermodel force remains conditional.
A-BDY-01	/stage1/arm_A/cold_output/D0_D5.md	D2.2 Step A2 and D4.1, lines 263, 443	Static seal parity does not select the action boundary functional.	UNDERDETERMINED	CONFIRMED-FORCED	None; phi=0 implies delta phi=0 for parity-preserving Dirichlet variations but leaves normal derivative and other fields free.	Finite cell/parity covered; metric, carrier, corner and higher-derivative data correctly separated.	Total derivatives preserve bulk equations and shift boundary momentum/charge primitives.	cas_armc_boundary_charge.py.	Full differentiable action, variation class, corners, reference and normalization.	A scalar Dirichlet branch can be differentiable without selecting a universal charge.
A-CAR-01	/stage1/arm_A/cold_output/D0_D5.md	D2.3 Steps C1-C4 and D4.2, lines 267-332, 449-454	Carrier identity, 4D completion, stress and coupling remain underdetermined; completions form S_min+ker(R).	UNDERDETERMINED / ALLOWED-FAMILY	UNDETERMINED	The affine restriction-kernel argument proves the 3D static data cannot determine time-live terms, but does not prove every kernel element satisfies CSN, stability, finite-cell/global gates or has a solution.	Static-restriction and carrier status covered; full-admissibility gates incomplete.	Adding full 4D covariance plus minimality narrows to one illustrative completion, but those premises are unforced and CSN creates an L2 compensator/post-scale fork.	cas_armc_carrier_covariance.py.	Derive carrier ontology, weights, time variable, measure, variation domain and global solution.	The nonuniqueness of static extension is robust even though specific examples are incomplete theories.
A-S2-01	/stage1/arm_A/cold_output/D0_D5.md	D2.3 Step C2, lines 269-311	The displayed covariant S2 completion reduces to minus E2+E4 and gives the displayed stress.	CHOSEN / CONDITIONAL	ACTUALLY-CHOSEN	4D covariance, minimality, signature, measure, constraint and representative are explicitly chosen; constant xi violates pre-scale CSN unless post-scale or compensated.	Static reduction and stress covered; carrier, CSN completion, boundary and global solution gates open.	A compensator or post-calibration representative repairs CSN but adds unforced structure.	cas_armc_carrier_covariance.py; Arm-A S2 scripts.	Complete compensator/post-scale rule, carrier boundary data and coupled solution.	Arm A's overall minus sign is consistent; Arm B's Stage-I formula was not.
