candidate_id	candidate	countermodel_status	H2_positional_dilation	reciprocal_c_and_dual_reciprocity	CSN_or_representative	observed_nontriviality_and_trivial_allowed	finite_cell_and_parity	reopened_carrier	Xmax_bootstrap_density	full_equations_and_solution	boundary_differentiability	variation_domain	exact_obstruction_or_compatible_completion	runnable_evidence
CM0-A	Arm-A no-action/no-operator sketch	INCOMPLETE	Kinematics retained	Retained as constraint/readout	Can live on conformal quotient	States arbitrary configurations but supplies no realized profile	Finite cell named; no complete data	Carrier-free branch asserted	Not implemented	No equations and therefore no defined solution concept	No action boundary problem; other update-law boundary data absent	K0/K2 mentioned but not completed	Absence of a stationarity postulate shows no action is explicitly assumed, but a model with no equations cannot satisfy the requested full-equations/solution gate.	No CAS can certify semantic completeness
CM0-C	Zero variational action plus separately specified coordinate-neutral nonvariational/global selection rules	CONDITIONAL-COMPLETABLE	Use a nontrivial reciprocal-depth field with phi=0 also allowed	Impose P^T K P=K kinematically	Use conformal class before a boundary/global representative	Choose a smooth nonzero odd-seal profile as realized state; zero profile remains admitted	Choose a compact mirrored cell and phi=0 at its seal	May choose no local carrier or a reopened conditional carrier	Set Xmax from global boundary data and impose a narrow proper-density selection equation	S=0 gives 0=0 variational equations; separate global/update equations and a nontrivial solution must still be written	Zero action is differentiable; global/update boundary data remain to specify	Configuration quotient/constraint must be explicit	This is a compatible logical completion showing action existence is not entailed, but it receives no complete countermodel force until the nonvariational equations, carrier/density content and solution are concrete.	Variation-domain limits illustrated by cas_armc_variation_domain.py
C2-VAC	Metric-only Weyl action alpha integral sqrt(-g) C^2	INCOMPLETE	Does not derive or demote dilation	Can enforce reciprocal sector after variation or by constraint	Exact local CSN in 4D	Bach-flat nontrivial reciprocal finite-cell solution not supplied; phi=0 flat solution allowed	Fourth-order finite-cell data and parity compatibility open	Vacuum omits matter-bearing realized branch	No Xmax/bootstrap/density realization	Bach equation known; required nontrivial full solution absent	Weyl boundary/corner completion absent	Unrestricted metric chosen; reciprocal enforcement open	Bulk action is a strong conditional alternative, not a complete foundation countermodel.	cas_armc_unique_action_weights.py
C2-X2	Weyl C^2 plus independent weight-zero scalar X^2	INCOMPLETE	Dilation retained but phi's independent-field status chosen	Reciprocal relation needs constraint/readout completion	Both bulk densities are 4D CSN invariant	Nonzero finite-cell p=4 solution with all sources not constructed; phi=0 allowed	Scalar Dirichlet parity is locally compatible; Bach boundary data absent	Matter/source sector optional and unspecified	No global gates realized	Bach plus p=4 equations exist; coupled solution absent	Scalar term differentiable under Dirichlet, metric term incomplete	Independent metric/phi chosen	Shows C^2 ceases to be unique when an independent scalar is allowed, but lacks global countermodel force.	cas_armc_unique_action_weights.py; Arm-A p4 algebra
C2-CLASS	C^2 unique bulk modulo Euler/boundary in the named curvature-square class	CONDITIONAL-COMPLETABLE	Compatible	Compatible only after a reciprocal solution/constraint choice	Exact CSN	Solution selection open	Boundary and parity completion open	Metric-only premise excludes carrier by choice	Global gates open	Bach equation; no complete selected solution	Euler and Weyl boundary terms unselected	Unrestricted metric chosen	Conditional classification is sound; full applicability requires metric-only, locality, covariance, parity-even, lowest order and unrestricted variation.	cas_armc_unique_action_weights.py
S2-MIN	Corrected minimal covariant round-S2 L2+L4 action	INCOMPLETE	Does not derive carrier from dilation	Metric can be chosen reciprocal only after variation/constraint choice	L4 is pre-scale CSN; constant L2 is not unless post-scale or compensated	Historical nontrivial carrier exists only within conditional numerical scope; coupled solution absent	Carrier boundary data and mirror topology absent	Explicitly uses reopened WORKING/POSIT carrier	No Xmax/bootstrap/density closure	Carrier equations exist; complete coupled geometry solution absent	Carrier boundary momentum needs data	Independent metric variation chosen	Repair with a weight-minus-one compensator or derived post-scale representative; then prove a finite-cell solution and global closure.	cas_armc_carrier_covariance.py
S2-FOL	Foliation S2 completion with free time coefficients	INCOMPLETE	Compatible kinematically	Compatible on chosen static representative	Preferred foliation/measure and CSN behavior unproved	Static nontrivial carrier does not establish time-live solution; trivial carrier allowed	Finite-cell carrier/lapse/shift boundary data absent	Uses conditional S2	No global gates	Exact functional exists; hyperbolicity/stability/coupled solution open	Boundary momenta depend on free coefficients	Foliation domain chosen	Same static restriction proves extension nonuniqueness, not complete-foundation admissibility.	cas_armc_carrier_covariance.py
KER-R	Affine completion family S_min+ker(R) of the static E2+E4 restriction	CONDITIONAL-COMPLETABLE	Neutral	Neutral	Only the CSN-compatible subset is admissible	Inherited from a completed base theory, if one exists	Only kernel terms preserving its boundary problem qualify	Inherited	Inherited	A kernel perturbation may destroy a base solution; require terms whose first variation vanishes on that solution or continue it by a proved theorem	Kernel boundary terms must preserve differentiability	Inherited and term-dependent	The affine identity rigorously shows static data cannot determine time terms. Countermodel force requires one completed base solution and a nontrivial admissible kernel deformation with solution persistence.	cas_armc_carrier_covariance.py
EH-LOVE	EH plus Lambda from conditional Lovelock route	INCOMPLETE	Does not derive dilation; reciprocal sector imposed after variation	Compatible only on selected solutions	Conflicts with exact pre-scale CSN unless a physical representative and scale emerge	Nontrivial reciprocal solution possible but not tied to all foundation gates; flat trivial allowed	Finite-cell GHY/corners/data/reference unselected	Carrier optional; minimal S2 is a separate choice	G, Lambda, Xmax and density closure absent	Einstein equations exist; required global matter-bearing finite-cell solution absent	GHY-type completion depends on boundary data	Unrestricted metric chosen	Valid post-scale/reference branch only after metric-only/local/covariant/second-order premises and representative selection.	cas_armc_unique_action_weights.py; cas_armc_boundary_charge.py
EH-H3	EH plus minimal S2 local-room H3 dispatch	INADMISSIBLE	Scoped comparison does not alter founding status	Uses unrestricted metric then exterior reciprocal recovery	Selects physical representative and dimensionful couplings	Intended nontrivial solution but dispatch supplies none; trivial solution exists	Uses asymptotic-flat N to 1 local-room conditions rather than the native complete finite mirrored cell	Uses reopened S2 as WORKING	Does not implement universal Xmax or narrow global density	Only a dispatch; no returned nonlinear solution	Uses spatial-infinity flux normalization	Unrestricted metric chosen	Legitimate local comparison, not a full complete-foundation countermodel. It may become a bounded subdomain completion after native cell matching is derived.	cas_armc_carrier_covariance.py; cas_armc_mass_virial.py
