family_id	count	premise_ids	topic	retained_gain	scope_limit	account_sections	inspection
F01	30	W6;W5;G01;G02;G03;G04;G05;G06;G07;G08;G09;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28	Foundation, calibration, carrier and action	Founded reciprocal structure; observed anchors; conditional full-metric and carrier lanes	Strong local CSN challenged/inactive; S2 posit; EH conditional; native source/action/mass open	1;2;10	Per-row disposition and SOURCE_READ_LEDGER.tsv; no blanket independent proof review
F02	6	G29;G30;G31;G32;G33;G34	Angular spectra, couplings and profile controls	Corrected bounded angular spectral/coupling atlases and regular-center profile roles	Mode/control evidence does not select native radial dynamics, shape or carrier	10	Per-row disposition and SOURCE_READ_LEDGER.tsv; no blanket independent proof review
F03	81	G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G74;G75;G76;G77;G78;G79;G80;G81;G82;G87;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128	Early complete-pair, observer and empirical interfaces	Observer/carry/overlap/full-differential and conditional observational evaluator development	Current regrades apply; protected original payloads excluded; fitted profiles/imported transfer are not native	2;7;11	Per-row disposition and SOURCE_READ_LEDGER.tsv; no blanket independent proof review
F04	36	G165;G163;G162;G161;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160	Valued relation networks, reconstruction and scale	Metric faithfulness with full marked area/density data; projective/ruler and carry distinctions	A valued complete state needs no second selector; full physical assignment is a different job	3;10;12	Per-row disposition and SOURCE_READ_LEDGER.tsv; no blanket independent proof review
F05	31	G195;G194;G193;G192;G191;G190;G189;G188;G187;G186;G184;G183;G182;G180;G181;G179;G178;G177;G176;G175;G174;G173;G172;G171;G170;G169;G168;G167;G166;G196;G198	Completed pair normalization and scaffold controls	Later G178 certification, G179 general pullback, G180 tape and G182 carry; control subtraction	WORKING normalization; G166 exact review-open grade distinct; supplied regular domain	2;3	Per-row disposition and SOURCE_READ_LEDGER.tsv; no blanket independent proof review
F06	42	G241;G240;G239;G238;G237;G236;G235;G234;G233;G231;G230;G229;G228;G227;G226;G225;G224;G223;G221;G222;G220;G219;G216;G217;G218;G215;G214;G213;G212;G211;G210;G209;G208;G207;G206;G199;G200;G201;G202;G203;G204;G205	Clock/direction records, tomography and realization	Completed-record rank, null incidence/carry, curvature jets and Cartan realization; empirical reconstruction	Normalized scalar loss is not full-record loss; local realization hypotheses and empirical provenance retained	3;7;11	Per-row disposition and SOURCE_READ_LEDGER.tsv; no blanket independent proof review
F07	35	G276;G275;G274;G273;G272;G271;G270;G269;G268;G267;G266;G265;G264;G263;G262;G261;G260;G259;G258;G257;G256;G255;G254;G253;G252;G251;G250;G249;G248;G247;G246;G245;G244;G242;G243	Metric value, scale, quiet and projective attachment	G255 accepted recovery census; full frame carry; nonzero-weight anchor and proper-clock scale attachment	Old no-law findings scoped; no unique scale/history from c_E or projective state alone	3;4;10	Per-row disposition and SOURCE_READ_LEDGER.tsv; no blanket independent proof review
F08	5	G281;G280;G279;G278;G277	Observational attachment and SNe provenance	Native core intact; valid conditional evaluation and empirical calibration/holdout separated	Resolution-sensitive scale and optical-area/history boundary; no audited native SNe prediction	11	Per-row disposition and SOURCE_READ_LEDGER.tsv; no blanket independent proof review
F09	18	G300;G299;G298;G297;G296;G295;G294;G293;G292;G290;G289;G288;G287;G286;G285;G284;G283;G282	History, causal and query-domain architecture	Compatibility, causal access, co-presence and complete query/germ type distinctions	Identity constraints are not values; W6 working; physical population/native full assembly open	1;3;12	Per-row disposition and SOURCE_READ_LEDGER.tsv; no blanket independent proof review
F10	11	G312;G311;G310;G309;G308;G307;G306;G305;G304;G303;G301	Response class and strengthened postulates	DDR full trace-free shape closure and entire-G301 conditional Einstein implication	Current G312 GR filter only; native membership route remains unclosed	1;4	Per-row disposition and SOURCE_READ_LEDGER.tsv; no blanket independent proof review
F11	25	G337;G336;G335;G334;G333;G332;G331;G330;G329;G328;G327;G326;G325;G324;G323;G322;G321;G320;G319;G318;G317;G316;G315;G314;G313	Conditional data, development and mode/response structure	Full constraints, non-CMC families, local/MGHD and explicit quotients; restricted mode/response classifications	Complete data differ from point jets; fixed datum uniqueness not data selection or stability	5;6;10	Per-row disposition and SOURCE_READ_LEDGER.tsv; no blanket independent proof review
F12	12	G349;G348;G347;G346;G345;G344;G342;G343;G341;G340;G339;G338	Supplied-spacetime null, screen and finite-area geometry	Finite relations, full Jacobi phase flow, arbitrary-metric reciprocity and finite sheet-area theorem	Regular/chart/rank and preimage domains; geometry does not supply flux or detector weighting	7	Per-row disposition and SOURCE_READ_LEDGER.tsv; no blanket independent proof review
F13	7	G356;G355;G354;G353;G352;G351;G350	Measure, continuous readout and chosen recipes	Character classification; provisional conservation and chosen continuous readout; phase/product conditions	Weights and physical identity retain their specific ownership; later G383 acceptance overlay	1;8	Per-row disposition and SOURCE_READ_LEDGER.tsv; no blanket independent proof review
F14	10	G366;G365;G364;G363;G362;G361;G360;G359;G358;G357	Shared records, phase and product persistence	Shared-measure and tide consistency; actual local phase/recipe/product preservation and departure	Finite algebra not generic PDE realization; original-data matching and restricted recurrence matter	8	Per-row disposition and SOURCE_READ_LEDGER.tsv; no blanket independent proof review
F15	7	G373;G372;G371;G370;G369;G368;G367	Optional source and joint development	Current/tensor/reconstruction interfaces and independently seeded actual joint analytic development	Optional unadopted paused law; no smooth/global stability, content or coupling selection	9	Per-row disposition and SOURCE_READ_LEDGER.tsv; no blanket independent proof review
F16	2	G375;G374	Fixed-base conformal compatibility	Neighborhood-loop compatibility and bounded conformal solution classification	Fixed supplied base/domain; not all-metric degrees of freedom or absolute scale selection	10	Per-row disposition and SOURCE_READ_LEDGER.tsv; no blanket independent proof review
F17	12	G383;G384;G385;G386;G387;G381;G382;G379;G380;G376;G377;G378	Ricci line, fibre persistence and neighboring tides	Full-data symmetry/development, nonpreservation counterexample and restricted realizable null jets	Preserving examples and exact domains survive; no generic instability or topology change	10	Per-row disposition and SOURCE_READ_LEDGER.tsv; no blanket independent proof review
F18	7	G388;G389;G390;G391;G392;G393;G394	Nonlinear realizability, localization and exact evolution	NR tangent iff; repaired 3D localization; early core; neighboring rates; NE exact positive-time family	Actual constructions with distinct reach; no universal stability/completeness/physical identity	5;6	Per-row disposition and SOURCE_READ_LEDGER.tsv; no blanket independent proof review
F19	7	G395;G396;G397;G398;G399;G400;G401	Native-response comparison and controlled limits	ND nonlinear discrimination; QC controlled bounds/counterexamples; GL conditional limit; RF realizable jets	No native selection or nonzero leading coefficient from locality alone; RF removed ambient extension requirement	4;13	Per-row disposition and SOURCE_READ_LEDGER.tsv; no blanket independent proof review
