job_id	question	accepted_inputs	current_state	remaining_gate_or_free_input	repeat_work_stop	permitted_next_kind_not_authorization
J01	Evaluate complete regular pair kernel	G166;G176;G178;G179;G180	CONDITIONALLY_COMPLETED	Supplied complete regular metric/query; WORKING normalization	Do not seek a second scalar law or re-open G176 review without reading G178	New domain or record theorem beyond already accepted scope
J02	Represent complete valued metric state	G129;G134;G213;G231;G255	SCOPED_FAITHFULNESS_AND_REALIZATION	Marking; rank; compatibility; regional hypotheses	Do not demand a second selector after supplying full valued metric data	Named compatibility or global realization extension
J03	Constrain response shape	G310;G311	OWNER_PROVISIONAL_DDR_WITH_DERIVED_SHAPE_CONSEQUENCE	Specified symmetric response E; trace coefficient may vary	Do not demand physical population of every germ for the universal local balance theorem	Source-supported further restriction on E
J04	Establish native response class	G301;current_G312_authority;G395;G396;G399;G400;G401	EXISTING_MEMBERSHIP_ROUTE_UNCLOSED	Remaining realizable-domain/type/order/naturality/regularity/nondegeneracy conditions; sufficient-route status	Do not restore GR as input or RF1-removed ambient extension hurdle; do not repeat quadratic controls as discoveries	One actual implication, counterexample or irreducible owner decision packet
J05	Construct data and conditional spacetime	G315--G324;G388--G394;G413;G414	MANY_ACTUAL_CONSTRUCTIONS_AND_SOME_MAXIMAL_RESULTS	Named equation/data/domain; reach differs by family	Do not label all history or global development missing; distinguish initial quotient from unmarked quotient	Release a named restriction or prove a specified reach result
J06	Determine evolution rate from observations of state	G333--G337;G393;G403;G405;G413;G414;TI3_UNPROMOTED	SPECIFIC_RECORD_SUFFICIENCY_AND_SEPARATORS	Full Cauchy data or required derivatives; marking and profile priors	Do not turn point/normalized-only loss into identical-full-data ambiguity; TI3 already tests initial profile signs	New invariant/time/domain target with a stated record contract
J07	Assign native complete event/path population and assembly	G299;G166;W5;W6;current_G312_authority	OPEN_COMPLETE_PHYSICAL_ASSIGNMENT	Nonidentity response/assembly argument and actual query-domain inputs	Do not confuse a closed evaluator or co-presence identity with value generation	Exact unsupported join with no invented dynamics or hidden physical prior
J08	Extend or stabilize a solution	G322;G324;G389;G391;G392;G394	FAMILY_SPECIFIC_PARTLY_COMPLETED	Regularity; extension category; perturbation class; domain; norms	Do not repeat G324 MGHD identification; do not infer stability from mode counts or profile decay	Specified extension/asymptotic/stability question
J09	Constrain carried content and its propagation	G350--G366;G383	CHOSEN_RECIPE_AND_LOCAL_PERSISTENCE_GAINS	Source/population and physical identity; declared product/phase assumptions	Do not rediscover arbitrary p after G352 chosen p1 or erase singular/atomic distinctions	Unexamined consequence of accepted chosen scope
J10	Develop an optional source connection	G367--G373	ACTUAL_LOCAL_ANALYTIC_JOINT_DEVELOPMENT__OPTIONAL_UNADOPTED_PAUSED	Physical law/coupling selection; smooth/global/stability extension	Do not say only residual reconstruction exists; do not promote optional source law	Separate motivated proposal and authority for any reopening
J11	Attach scale and compare observations	G275--G281;G348--G352;G406--G412;OB1;OB2;ZDR1	CONDITIONAL_ATTACHMENTS_AND_DISTINCT_EVIDENCE_TYPES	Independent same-object calibration; complete geometry/source/response/error support for named test	Do not derive scale from c_E alone, fit each source then call prediction, re-use exposed records as blind, or treat design as data	Specific unused consequence with justified conditional bridge
J12	Select one universe without initial data	G313;G314	OPTIONAL_STRONGER_AMBITION	Separate actualization rule or argument if desired	Do not make this a prerequisite for conditional field theory or every geometric test	Separate explicit owner question; no assumed need
J13	Identify carrier and physical mass	G04;G09--G16;topology_ledger;mass_authority_map;G376--G387	CONDITIONAL_CARRIER_AND_GEOMETRIC_MASS_GAINS	Posit/action/boundary/physical identification; current branch-specific stability	Do not erase static evidence, universalize a nonpreservation witness, revive inactive CSN, or inspect protected payloads	Precisely sourced lane-specific question after required entry map
