id	component	input_status	exact_result	classification	remaining_gate
F01	reciprocal CSN coframe ray	FOUNDING reciprocity plus conditional exponential representation	[u:v] modulo common scale has ratio r=v/u=exp(2phi)	DERIVED_IN_DECLARED_DUAL_REPRESENTATION	Physical interpretation of its chart remains separate
F02	anchored projective coordinate	PROJECTIVE_POSITION_JOIN not owner-locked	unique fractional-linear chart with reciprocal endpoints and neutral ray is xi=(r-1)/(r+1)=tanh(phi)	DERIVED_CONDITIONAL_ON_PROJECTIVE_POSITION_JOIN	Why positional separation is this projective ray coordinate
F03	positional composition	conditional F02	ratio multiplication gives xi12=(xi1+xi2)/(1+xi1 xi2)	DERIVED_CONDITIONAL_ON_PROJECTIVE_POSITION_JOIN	Not derived from finite Xmax or generic bounded composition alone
F04	full frame map	conditional reciprocal additive-depth coframe	phi'=phi-beta; t'=exp(-2beta)t; y'=y; X'=X; c'=c composes exactly	EXACT_CONDITIONAL_FRAME_GROUP	Global boundary and field-role completion
F05	complete metric/CSN action	conditional metric family	F_beta pullback g=exp(-2beta)g for g=-exp(-2phi)c^2dt^2+exp(2phi)h with stationary F_beta-invariant h	EXACT_FULL_4D_CSN_REALIZATION_IN_DECLARED_FAMILY	Not uniqueness of the complete metric
F06	bounded dx reciprocal metric	conditional historical specialization	dx=X sech(phi)^2dphi breaks frame covariance; exact ratios 1/2 versus 32/81 and 512/625	REFUTED_AS_FULL_FRAME_REALIZATION_IN_TESTED_CLASS	Additional field/frame mixing would be a different problem
F07	pure depth spatial slot	fixed F3 time action plus frame covariance	seed k(phi) must be constant; coframe L dphi survives; freeing the time exponent admits k=exp(a phi)	SELECTED_WITHIN_FIXED_F3_PURE_DEPTH_CLASS	L=Xmax is a global normalization choice/candidate
F08	transverse phi dependence	general restricted warp R(phi)^2q_AB	R(phi-beta)=exp(-beta)R(phi) gives R=C exp(phi)	SELECTED_WITHIN_RESTRICTED_WARP_CLASS	q_AB topology roundness twist connection and boundary remain open
F09	intrinsic transverse geometry	phi-independent spatial seed	flat and round local seeds plus arbitrary invariant cross terms all survive	NOT_SELECTED	Requires an independent geometric/global selector
F10	1+1 conformal frame freedom	local optical null coordinates	any monotone one-parameter reparameterization extends conformally	EXACT_COUNTERFAMILY_TO_1PLUS1_UNIQUENESS	Full coframe/projective join must do the selecting
F11	null cone and c parameter	conditional F05	positive common conformal factor preserves null cone and leaves symbolic c unchanged	DERIVED_IN_FRAME_FAMILY	Physical signal law and value/origin of c remain open
F12	finite-cell seal	binding absolute static phi=0 scope	an internal relational shift sends the same scalar zero to -beta	REJECTED_SILENT_IDENTIFICATION	Derive distinction or map between relational depth and absolute field
F13	bootstrap-set Xmax	working global-output proposal	frame map can leave Xmax fixed	CONDITIONAL	Requires native observer-independent M_total and complete closure
F14	action/source/matter	OPEN	no selection follows from the frame construction	OPEN	Variation domain invariant inventory source and boundary action
