class_id	constructible_from_current_data	response_or_identity	full_coframe_effect	current_selection_status	blocking_or_extra_premise	bounded_ruling
O00	YES	ZERO_CONTROL	pulls back to zero	NOT_EXCLUDED_BY_KINEMATICS__FAILS_PROPER_REALIZATION_GOAL	nontrivial realization principle	CONTROL_SHOWS_KINEMATICS_ALONE_IS_NOT_DYNAMICS
O01	YES	IDENTITIES_AND_READOUTS	identities remain identities	NOT_SELECTED_AS_EQUATION	independent zero/equality/source premise	NO_NATIVE_RESPONSE_FROM_DEFINITION_ALONE
O02	YES	VARIATIONAL_BULK_RESPONSE	injective pullback; founded phi direction is volume-blind	AVAILABLE_NOT_SELECTED__NO_NONDEGENERATE_ZERO_FOR_PURE_VOLUME	coefficient/scale and viable completion	DOES_NOT_CLOSE_REALIZATION
O03	YES	VARIATIONAL_BULK_RESPONSE	injective pullback with all coframe components	CONDITIONAL_NOT_SELECTED	post-scale representative; at-most-second-order; Lovelock minimality; boundary/source	AVAILABLE_CONDITIONAL_EH_CLASS
O04	YES	VARIATIONAL_BULK_RESPONSE	injective pullback with all coframe components	UNIQUE_CONDITIONAL_IN_INACTIVE_BRANCH	pre-scale strong CSN; unrestricted metric variation; boundary/source	AVAILABLE_CONDITIONAL_BACH_CLASS_NOT_CURRENT_SELECTION
O05	YES_AS_NONEXHAUSTIVE_FAMILY	VARIATIONAL_BULK_RESPONSES	injective pullback preserves plurality	AVAILABLE_PLURAL_NOT_SELECTED	invariant inventory; order; coefficients; boundary	EXACT_FR_CONTROLS_REFUTE_COVARIANCE_ONLY_UNIQUENESS
O06	YES_AFTER_PARENT_RESPONSE	QUERY_FAMILY	query lift leaves metric-line ambiguity	ADMISSIBLE_GENUINE_NOT_SELECTED	parent response and query quantifier	DOES_NOT_SELECT_PARENT_OR_TRACE
O07	YES_ON_REGULAR_BRANCHES	DERIVED_REDUCTION_RESPONSE	chain-rule pullback only	CONDITIONAL_REGULAR_NOT_GLOBAL	metric-owned reduction and stratified continuation	DOES_NOT_SELECT_PARENT_RESPONSE
O08	YES_AS_GLOBAL_READOUT	NONLOCAL_RESIDUAL_ONLY_AFTER_EXTRA_PREMISE	coframe transport composes for every metric	TYPED_NOT_SELECTED	physical loop/path and zero-period/trivial-return premise	COMPOSITION_ROUTE_TERMINATED
O09	PARTIAL_TYPES_ONLY	BOUNDARY_OR_COMPLETION_RESPONSE	order-dependent wall/corner slots	OPEN_MULTIPLE_CLASSES	polarization; varied data; differentiable functional; corners	NO_COMPLETE_RESPONSE
O10	TYPE_ONLY	GLOBAL_LOCAL_RELATION	acts on complete on-shell solutions not pointwise coframe	WORKING_POSIT_NOT_DERIVED_OPERATION	concrete nontrivial A(X,O) and complete R[X]	ROUTE_B_DECISION_REMAINS
