falsifier_id	target	fires_if	required_disposition
F01	founded phi	phi is called undefined arbitrary or independently varied outside a supplied realization	VOID affected claim and repair premise usage
F02	constructible versus forced	metric construction is promoted to selected law without a selecting premise	REJECT promotion and retain AVAILABLE
F03	zero control	zero response is omitted or declared inadmissible without source evidence	FAIL selection claim
F04	class premise	locality derivative order variationality minimality coefficient or quantifier is silently fixed	FAIL or narrow to explicit conditional branch
F05	query home	pair response descends to spacetime without universal quantifier or metric-owned reduction	FAIL that class
F06	strata	regular projector or split is continued through null tie or rank-change strata by notation	FAIL global claim
F07	boundary	bulk response is called complete with unpaired wall or corner data	NARROW to bulk-only
F08	family promotion	F01 F02 or F04 is called native matter	VOID physics promotion
F09	exhaustiveness	bounded source-backed universe is called all natural operators	NARROW result
F10	compute-time science	timeout or quick return is used as physics evidence	VOID affected conclusion
F11	unauthorized closure	action source carrier bootstrap density mass species Xmax dynamics or fit is inferred	REMOVE inference and stop
F12	new-versus-prior provenance	July 29 P4 response-space results are relabeled as a new derivation	RECLASSIFY as current-premise overlay only
