source_path	role_in_audit	selection_content
LIVE.md	current authority	Names response/global-closure law as open and forbids promotion
HANDOFF.md	current route	Routes through recovery checkpoint and preserves phi/C08 corrections
CURRENT_SCIENTIFIC_PREMISES.md	premise meaning	Founded phi derived; strong CSN inactive; action/source open
CURRENT_SCIENTIFIC_PREMISES.tsv	machine premise registry	Exact G01-G18 statuses
UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	historical/current overlay	Current notices preserve nonselection
udt_scientific_arc_recovery_checkpoint_2026-08-04/SCIENTIFIC_ARC_CHECKPOINT.md	arc synthesis	Localizes realization and persistence joins
udt_scientific_arc_recovery_checkpoint_2026-08-04/MASS_BRANCH_AUTHORITY_MAP.tsv	family authority	Separates F01/F02/F04 and zero native families
udt_scientific_arc_recovery_checkpoint_2026-08-04/BANKABLE_STRUCTURE_AND_OPEN_JOINTS.tsv	structure ledger	Defines banked arena and open response slot
udt_scientific_arc_recovery_checkpoint_2026-08-04/OVERVIEW_AND_ROUTE_MAP.md	authorized route	Defines bounded Route-A versus provisional Route-B decision
udt_p4_routeA_response_inverse_problem_2026-07-29/AUDIT_REPORT.md	prior response program	Already typed formal response space; no candidate selected
udt_p4_routeA_response_inverse_problem_2026-07-29/POSED_INVERSE_PROBLEM.md	prior domain	Carries full response components and forks on registered stationary chart
udt_p4_routeA_response_inverse_problem_2026-07-29/SIX_GATE_SPECS.md	prior gate architecture	Same-solution/Helmholtz/gauge/boundary/period requirements
udt_p4_routeA_stage2_pointwise_reduction_2026-07-29/AUDIT_REPORT.md	prior pointwise result	Formal response module nonempty; strata cuts; no member selected
udt_p4_routeA_stage3_gate_cut_2026-07-29/AUDIT_REPORT.md	prior gate cut	Pointwise candidate-free partitions do not select one response
udt_p4_routeA_slice2_solution_legs_2026-07-29/AUDIT_REPORT.md	prior solution slice	Conditional solution legs only
udt_p4_routeA_slice2b_full_cell_2026-07-29/AUDIT_REPORT.md	prior full-cell slice	Conditional mass divergences; no mass rule promoted
udt_post_july_mass_branch_reconciliation_2026-08-01/AUDIT_REPORT.md	family reconciliation	Three conditional rows; no native stable mass
udt_post_july_mass_branch_reconciliation_2026-08-01/FAMILY_RECONCILIATION.tsv	machine family map	Exact F01-F07 identities
udt_stability_foundations_audit_2026-08-01/AUDIT_REPORT.md	missing joins	Realization and persistence laws both open
native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	F04 authority	Static finite-box stability conditional on carrier/action/boundary
udt_reciprocal_closure_joint_selector_audit_2026-08-01/AUDIT_REPORT.md	projector bridge	L2/L4 theorem conditional on supplied rank-one projector
udt_global_local_self_consistency_premise_audit_2026-08-01/AUDIT_REPORT.md	Route-B authority	Bootstrap is distinct coherent posit without operation
udt_factorized_whole_spacetime_skeleton_2026-08-04/AUDIT_REPORT.md	full arena	Configuration skeleton defined; native law open
udt_factorized_whole_spacetime_skeleton_2026-08-04/WHOLE_SPACETIME_SKELETON.md	coframe architecture	Exact coframe-to-metric configuration map and object hierarchy
udt_factorized_whole_spacetime_skeleton_2026-08-04/OBJECT_GRAPH.tsv	machine object graph	O29 response and O30 variation remain open
udt_factorized_whole_spacetime_skeleton_2026-08-04/IDENTITY_LAW_SEPARATION.tsv	provenance separation	Metric identities do not become laws
udt_factorized_whole_spacetime_skeleton_2026-08-04/OPEN_EQUATION_SLOTS.tsv	dependency order	L03 response precedes dynamics/bootstrap/matter
udt_extension_bundle_globalization_variation_audit_2026-08-04/AUDIT_REPORT.md	globalization	Tensor extension after supplied split; no law selection
udt_extension_bundle_globalization_variation_audit_2026-08-04/VARIATION_DOMAIN_LEDGER.tsv	variation classes	Metric/coframe tangents distinct from gauge/query/conditional carrier
udt_extension_bundle_globalization_variation_audit_2026-08-04/ONTOLOGY_FORK.tsv	ownership forks	Query/realized/branch-derived architectures remain unselected
udt_metric_natural_reciprocal_split_selector_audit_2026-08-04/AUDIT_REPORT.md	reduction status	Only branch-local selectors; universal smooth split obstructed
udt_native_law_home_codomain_ownership_audit_2026-08-04/AUDIT_REPORT.md	law typing	Home/codomain/variation owner not selected
udt_native_law_home_codomain_ownership_audit_2026-08-04/LAW_CLASS_UNIVERSE.tsv	law classes	Separates ambient/query/dynamical/bootstrap/boundary types
udt_native_law_home_codomain_ownership_audit_2026-08-04/VARIATION_OWNERSHIP_ATLAS.tsv	ownership ledger	Independent versus chain-rule versus query directions
udt_basic_vs_universal_query_residual_audit_2026-08-04/AUDIT_REPORT.md	universal-query control	Rank-nine trace-free reduction and global nonlocal class; not selected
udt_reciprocal_path_composition_residual_audit_2026-08-04/AUDIT_REPORT.md	composition control	Exact composition is nonselecting; zero-period premise absent
native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	action class authority	C2/Bach unique-conditional; EH conditional; complete action/source/boundary open
