premise_id	object	provenance_tag	active_status	use_in_audit	open_or_excluded
P01	founded phi identity	pinned-by-THEORY	DERIVED_ADDITIVE_LOG_DEPTH_OF_RECIPROCAL_PAIR	active founding structure	physical observer/path assignment and realized profile open
P02	reciprocal pair action	pinned-by-THEORY	DERIVED_PHI_MAPS_TO_DIAG_EXP_MINUS_PHI_EXP_PLUS_PHI	active founding structure	complete physical embedding and extension selection open
P03	c_E and G_obs	pinned-by-OBSERVATION	OBSERVED_ANCHORS_RETAINED	dimensional calibration available	no response or coefficient selected
P04	complete coframe extension	pinned-by-THEORY	DEFINED_CONFIGURATION_ARCHITECTURE	full local screen and mixing directions retained	not a propagating-mode count or native equation
P05	global extension after supplied split	pinned-by-THEORY	DERIVED_STANDARD_BUNDLE_FACT	global tensor transition bookkeeping	split and physical section not selected
P06	maximal metric/coframe tangent arena	pinned-by-AUDIT_CHOICE	CHOSE_AUDIT_DOMAIN	mathematical response comparison only	native physical variation ownership open
P07	locality	free-and-explored	OPEN	local and disclosed global classes retained	no locality postulate adopted
P08	derivative order	free-and-explored	OPEN	zero two four and higher-family witnesses retained	no order/minimality selection
P09	variationality	free-and-explored	OPEN	variational and nonvariational types retained	no least-action premise adopted
P10	query quantifier	free-and-explored	OPEN	supplied all-query and reduction homes distinguished	no universal or realized section selected
P11	boundary posture	free-and-explored	OPEN	bulk-only versus completed response distinguished	no boundary polarization or functional selected
P12	strong local CSN	pinned-by-THEORY	INACTIVE	used only to retain Bach conditionality	no pre-scale conformal filter active
P13	EH response	pinned-by-THEORY	CONDITIONAL_NOT_SELECTED	registered two-derivative comparison class	not native UDT
P14	C2/Bach response	pinned-by-THEORY	UNIQUE_CONDITIONAL_ONLY_IF_PRE_SCALE_STRONG_CSN_RETAINED	registered four-derivative comparison class	inactive without strong CSN and incomplete boundary/source
P15	S2 carrier and L2+L4	pinned-by-THEORY	POSIT_AND_CONDITIONAL	F04 consequence audit only	carrier emergence action coefficient boundary dynamics open
P16	bootstrap	pinned-by-THEORY	WORKING_ON_SHELL_ADMISSIBILITY	possible later Route-B type only	no concrete relation optimizer or density law
P17	finite-cell/completion structure	pinned-by-THEORY	WORKING_MULTIPLY_ANCHORED_STRUCTURE	global and boundary class inputs retained	selection and differentiable boundary law open
P18	SNe relation	pinned-by-THEORY	CONDITIONAL_OBSERVATIONAL_COMPATIBILITY_ANCHOR	downstream codomain check only	no upstream response selection or fit
