object	status	result_or_boundary
reciprocal_shape_tangent	DERIVED_BOUNDED	all_plane_Lorentz_orbit_spans_rank_9_traceless_symmetric_space
common_metric_scale	RETAINED_DERIVED_COUNTERFAMILY	adds_independent_trace_direction_for_complete_rank_10
G301_class_selection	OPEN	complete_pair_structure_does_not_select_generic_or_tracefree_residual
tracefree_primary_family	DERIVED_CONDITIONAL	f_equals_1_plus_b_over_r_minus_R0_r_squared_over_12
b	FREE_CONDITIONAL_SOLUTION_DATUM	Weyl_and_registered_angular_channel
R0	FREE_CONNECTED_REGION_SOLUTION_DATUM	Ricci_constant_curvature_and_pair_channel
angular_R0_cancellation	DERIVED_CONDITIONAL	exact_in_both_registered_G201_G288_channels
null_screen_R0_response	DERIVED_CONDITIONAL	zero_for_pure_scalar_curvature_part
nonnull_R0_response	DERIVED_CONDITIONAL	sectional_magnitude_abs_R0_over_12
smooth_center	DERIVED_CONDITIONAL	requires_b_equals_zero
two_end_scale_separation	CONDITIONAL_AVAILABLE	requires_abs_b_sqrt_abs_R0_over_12_small
mass_interpretation	OPEN_NOT_ADOPTED	no_source_or_micro_core_derived
physical_query_population	OPEN	all_planes_only_algebraic_control_family
nonspherical_time_live_extension	OPEN	not_tested
metric_kernel_change	NONE	unchanged
history_selection	OPEN	not_attempted
external_review	VERIFIED_WITH_CAVEATS	scientific_landing_retained_domain_coverage_caveat_only
domain_certification_repair	INTERNALLY_VERIFIED_EXHAUSTIVE	8_of_8_rows_dependency_free_parameter_cell_Sturm_and_sign_proof
repair_followup_review	OPEN	required_to_close_certification_caveat
