item	status	used_for	not_claimed
F2_F3	DERIVED_OR_POSIT_AS_REGISTERED	determinant_one_reciprocal_squeeze_on_supplied_depth	observer_event_to_depth_assignment
F4_primary_metric	DECLARED_READOUT_CONDITIONAL	exact_static_areal_spherical_metric_slice	full_time_live_history
W1	WORKING_FOUNDATIONAL_CLARIFICATION	completed_pair_normalization_after_screen_and_mixing	canon_or_field_equation
W5	WORKING_FOUNDATIONAL_CLARIFICATION	complete_projective_frame_screen_carry	physical_query_population
G154_common_scale	DERIVED_COUNTERFAMILY	common_metric_scale_is_retained_not_gauge	common_scale_history_law
G301_tracefree_class	FREE_AND_EXPLORED_CONDITIONAL_CLASS	conditional_response_classification	adopted_UDT_equation
b	FREE_AND_EXPLORED_SOLUTION_DATUM	exact_family_and_sign_domain_sweep	mass_or_source
R0	FREE_AND_EXPLORED_CONNECTED_REGION_DATUM	exact_family_and_sign_domain_sweep	cosmological_constant_mass_or_observed_scale
c_E	OBSERVED_CALIBRATION	x0_equals_cE_t_coordinate_conversion	history_profile_or_signal_speed
all_pair_planes	ALGEBRAIC_CONTROL_FAMILY	exact_span_certificate	physically_populated_queries
static_diagonal_areal_chart	CHOSE_BOUNDED_SLICE	conditional_exact_response	whole_metric_verdict
observations	OMITTED	none	calibration_or_fit
source_action_matter	OMITTED	none	UDT_derivation
X_max	OPEN_OMITTED	none	input_or_boundary
