item	status	role
Taub_Kasner_metric	DERIVED_CONDITIONAL_BOUNDED	fixed exact spacetime inherited from G341
provisional_vacuum_equation	OWNER_ADOPTED_PROVISIONAL_POSTULATES_NOT_CANON	conditional arena only
positive_time_domain	PINNED_BY_THEORY_FOR_THIS_SPACETIME	T greater than zero regular component
normal_observer_congruence	SUPPLIED	fixed spatial labels and metric-unit clocks
emission_event	FREE_AND_EXPLORED_QUERY_DATA	all positive emission times
future_projective_null_direction	FREE_AND_EXPLORED_QUERY_DATA	all mixed directions and both principal limits
positive_momentum_scale	GAUGE	affine normalization only
emitted_frequency_one	CHOSE_QUERY_CALIBRATION	states D(0)=0 and D'(0)=I; rescaling covariance retained
compact_translation_lattice	SUPPLIED_CONDITIONAL	all winding and homotopy labels retained
Cx_Cperp	FREE_AND_EXPLORED_SUPPLIED_METRIC_LABELS	all positive values; no physical calibration
Levi_Civita_Riemann_Jacobi	CATEGORY_A_GEOMETRY	metric-derived evaluator not dynamics or radiative physics
G188_general_Jacobi_theorem	CATEGORY_A_PRIOR_METHOD	conditional evaluator architecture only; current metric rederived
G341_endpoint_and_screen_formulas	DERIVED_CONDITIONAL_BOUNDED	current exact source formulas independently rechecked
numerical_quadrature_and_RK_controls	CATEGORY_A_METHOD	certification only
electromagnetic_or_light_model	OMITTED	no emission absorption intensity spectrum or detection
luminosity_or_observational_distance	OMITTED	Jacobi area is not attached to observed flux or distance
physical_route_or_population	OPEN	no lattice path selected or weighted
generic_spacetime_or_stability	OPEN	one exact spacetime and cone only
scale_Xmax	OPEN	no attachment or selection
