id	final_class	native_scale_free_content	conditional_or_open_dimensional_content
G135	NATIVE_SCALE_FREE_WITH_CONDITIONAL_DIMENSIONALIZATION	T L phi q chi projective boundary and normalized composition	x equals Xmax chi physical radius and finite length
G136	NATIVE_CLASSIFICATION_PLUS_WORKING_POSITION_CONSTITUTION	continuous same-law chart and unique normalized tanh after chosen unit slope	dimensionful scale and physical length
G137	NORMALIZED_POSITION_SURVIVES__DIMENSIONFUL_JOIN_CONDITIONAL	signed chi reversal magnitude and normalized composition	x s finite bound and asymptote after multiplying by Xmax
G138	NATIVE_SCALE_FREE_NETWORK_DESCENT	cycle closure endpoint descent and Mobius torsor	common dimensionful display scale and Xmax value
G139	NATIVE_SCALE_FREE_ENDPOINT_TRANSPORT_PRODUCT	chi endpoint channel and separate U_gamma route channel	dimensionful endpoint position
G140	NATIVE_SCALE_FREE_CONGRUENCE_NONSELECTION	pullback faithfulness versus positional congruence no-go	physical scale and Xmax
G141	NATIVE_SCALE_FREE_CALIBRATION_ALGEBRA	endpoint factors reciprocal grading and inverse carry	dimensionful position
G142	NATIVE_SCALE_FREE_CARRY_ALGEBRA	total comparison grading and composition	dimensionful position
G143	NATIVE_SCALE_FREE_CHART_CARRY	identity carry and reparameterization covariance	dimensionful position
G144	NATIVE_SCALE_FREE_OVERLAP_CARRY	genuine overlap carry and endpoint insufficiency	dimensionful position
G145	NATIVE_SCALE_FREE_HISTORY_NONSELECTION	rank-complete relation metric equivalence and arbitrary Phi profiles	radial label as physical distance numerical Xmax and completion
G146	NATIVE_NORMALIZED_MULTIDIRECTIONAL_NONSELECTION	normalized open-ball projection classification	physical three-position carrier and radius Xmax
G147	NATIVE_SCREEN_IDENTITY_RADIAL_MARKING_BLIND	conditional directional tangent equals metric screen	physical radial marking and Xmax
G148	NORMALIZED_FIRST_JET_SURVIVES__OVERALL_SCALE_CONDITIONAL	first jet of chi times direction and live orchestra response	xi equals Xmax chi n and every Xmax amplitude
G149	NORMALIZED_SPACETIME_FIRST_JET_WITNESS_SURVIVES	common spacetime query realizes normalized first jet	dimensionful amplitude and Xmax
G150	NATIVE_FIRST_ORDER_FREEDOM_CEILING	four-output local surjection at finite depth	Xmax selection
G151	GENERIC_CHORD_GEOMETRY_SURVIVES__POSITIONAL_CHORD_CONDITIONAL	commutator and conditional Jacobi identities for a supplied scalar	choice rho equals Xmax tanh phi and fixed-X controls
G152	CONDITIONAL_RULER_TEST_ONLY	immersion ruler tests and equality classification	Xmax candidate after extra chord-equals-ruler equality
G153	NATIVE_DCHI_DIFFERENTIAL__DIMENSIONFUL_PRODUCT_RULE_CONDITIONAL	dchi equals one minus chi squared times dphi	live dXmax and differential of Xmax chi
G154	NATIVE_XMAX_NONSELECTION__FIXED_SCALE_PROBES_CONDITIONAL	conformal network scale blindness and normalized nonselection	fixed Xstar response classes live dXstar and global scale realization
