id	expected_class	scale_free_survivor	xmax_dependent_content	falsifier
G135	NATIVE_SCALE_FREE_WITH_CONDITIONAL_DIMENSIONALIZATION	T L phi q chi projective bound and normalized composition	x equals Xmax chi and any physical length claim	owned dimensionful equation inside G135 not defining x through Xmax
G136	NATIVE_CLASSIFICATION_PLUS_WORKING_POSITION_CONSTITUTION	continuous same-law F equals tanh k phi and normalized k equals one	division by Xmax and any dimensional scale claim	continuous same-law theorem fixes a physical length without supplied scale
G137	NORMALIZED_POSITION_SURVIVES__DIMENSIONFUL_JOIN_CONDITIONAL	signed chi reversal magnitude and normalized composition	x s bound and finite asymptote after multiplying by Xmax	dimensionful x follows before Xmax is supplied
G138	NATIVE_SCALE_FREE_NETWORK_DESCENT	cycle closure endpoint descent and Mobius torsor	dimensionful chart rescaling and common Xmax display	network residual has nonzero Xmax rank without dimensionful definition
G139	NATIVE_SCALE_FREE_ENDPOINT_TRANSPORT_PRODUCT	chi endpoint channel and separate U_gamma route channel	dimensionful endpoint position display	transport law independently fixes a length scale
G140	NATIVE_SCALE_FREE_CONGRUENCE_NONSELECTION	pullback faithfulness versus positional congruence no-go	physical scale and Xmax	congruence gates select an absolute length
G141	NATIVE_SCALE_FREE_CALIBRATION_ALGEBRA	endpoint factors reciprocal grading and inverse carry	dimensionful position display	calibration algebra owns Xmax
G142	NATIVE_SCALE_FREE_CARRY_ALGEBRA	total comparison grading and composition	dimensionful position display	carry character owns Xmax
G143	NATIVE_SCALE_FREE_CHART_CARRY	identity carry and reparameterization covariance	dimensionful position display	one chart fixes global length
G144	NATIVE_SCALE_FREE_OVERLAP_CARRY	genuine overlap carry and endpoint insufficiency	dimensionful position display	overlap descent fixes global length
G145	NATIVE_SCALE_FREE_HISTORY_NONSELECTION	rank-complete relation metric equivalence and arbitrary Phi profiles	radial label as physical distance and numerical Xmax	coherence equations select one dimensional profile
G146	NATIVE_NORMALIZED_MULTIDIRECTIONAL_NONSELECTION	normalized open-ball projection classification	physical three-position radius Xmax	projection classification fixes a dimensional ball
G147	NATIVE_SCREEN_IDENTITY_RADIAL_MARKING_BLIND	conditional directional tangent equals metric screen	physical radial marking and Xmax	screen identity selects tanh scale or radius
G148	NORMALIZED_FIRST_JET_SURVIVES__OVERALL_SCALE_CONDITIONAL	first jet of chi times direction and live orchestra response	xi equals Xmax chi n and all Xmax factors	first-jet identity has nonzero native Xmax rank
G149	NORMALIZED_SPACETIME_FIRST_JET_WITNESS_SURVIVES	common spacetime query realizes normalized first jet	all Xmax amplitudes	witness determines Xmax rather than accepting it
G150	NATIVE_FIRST_ORDER_FREEDOM_CEILING	four-output local surjection at finite depth	Xmax selection	first-order identities select finite dimensional scale
G151	GENERIC_CHORD_GEOMETRY_SURVIVES__POSITIONAL_CHORD_CONDITIONAL	commutator and conditional Jacobi identities for supplied scalar	choice rho equals Xmax tanh phi and Xmax controls	curvature manufactures supplied Xmax factor
G152	CONDITIONAL_RULER_TEST_ONLY	immersion ruler tests and equality classification	Xmax candidate from chord equals ruler	ruler equality is premise-owned rather than additional
G153	NATIVE_DCHI_DIFFERENTIAL__DIMENSIONFUL_PRODUCT_RULE_CONDITIONAL	dchi equals one minus chi squared times dphi	live dXmax and d of Xmax chi	product rule constrains or derives Xmax
G154	NATIVE_XMAX_NONSELECTION__FIXED_SCALE_PROBES_CONDITIONAL	conformal network nonselection and normalized scale blindness	fixed Xstar response classes and live dXstar	current identities derive one dimensionful shared Xmax
