profile_id	shape_id	amplitude	q_at_s_4_exact	h_at_x_2_exact	mixing_vanishes_at_candidate_surface	extension_class	physical_status
G75_F01_AM	ZERO	0	0	0	true	ZERO_MIXING_CONSTANT_CURVATURE_GLOBAL_EXTENSION_EXISTS	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S01_E05	S01	1/20	4/5	16/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S01_E20	S01	1/5	16/5	64/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S01_E50	S01	1/2	8	32	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S01_E100	S01	1	16	64	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S02_E05	S02	1/20	-7/5	-28/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S02_E20	S02	1/5	-28/5	-112/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S02_E50	S02	1/2	-14	-56	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S02_E100	S02	1	-28	-112	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S03_E05	S03	1/20	-12/5	-48/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S03_E20	S03	1/5	-48/5	-192/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S03_E50	S03	1/2	-24	-96	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S03_E100	S03	1	-48	-192	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S04_E05	S04	1/20	1/5	4/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S04_E20	S04	1/5	4/5	16/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S04_E50	S04	1/2	2	8	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S04_E100	S04	1	4	16	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S05_E05	S05	1/20	1/2	2	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S05_E20	S05	1/5	2	8	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S05_E50	S05	1/2	5	20	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S05_E100	S05	1	10	40	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S06_E05	S06	1/20	3/5	12/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
G75_AM_S06_E20	S06	1/5	12/5	48/5	false	NONZERO_BIFURCATION_MIXING__STANDARD_SMOOTH_SYMMETRY_EXTENSION_OBSTRUCTED	CONTROL_CLASSIFICATION_NOT_SELECTED_PHYSICS
