claim	status	scope	remaining_open
AM_spatial_metric_has_minimal_doubled_round_S3_candidate_radius_2R	DERIVED_CONDITIONAL	transparent AM continuation and minimal doubled simply connected spatial completion candidate	uniqueness of topology physical topology and global spacetime selection
completed_spatial_diameter_equals_2piR	DERIVED_CONDITIONAL	round S3 spatial candidate	physical observer-pair separation is not identified with this distance
x_2_is_spatial_equator_not_antipode	DERIVED_CONDITIONAL	doubled S3 coordinate map	physical endpoint ownership
zero_mix_has_smooth_constant_curvature_Lorentz_extension	DERIVED_CONDITIONAL	one zero-mixing AM control	physical profile and arbitrary mixed completion
zero_mix_geodesic_observer_static_limit_equals_piR	DERIVED_CONDITIONAL	central-geodesic isometry orbit in zero-mixing completion	accelerated observers and generic complete coframe
zero_mix_phi_of_patch_distance_equals_minus_log_cos	DERIVED_CONDITIONAL	stationary Killing query with receiver at recentered patch center	universal pair-depth law
zero_mix_c_eff_ratio_equals_cos_squared	DERIVED_CONDITIONAL	terminal reciprocal readout on same supplied query	mixed/global c_eff ownership
stationary_depth_is_not_function_of_global_S3_distance	DERIVED_WITHIN_CANDIDATE	zero-mixing doubled spatial completion	other UDT separation types remain open
all_196_nonzero_AM_profiles_have_nonzero_q_at_4	DERIVED_EXACT	frozen G75 polynomial continuation	physical continuation authority absent
196_mixed_analytic_chi_extensions_degenerate_on_equatorial_axial_fixed_set	DERIVED_WITHIN_EXTENSION_CLASS	smooth stationary axial doubled continuation	alternative time-live/global completion open
zero_mix_piR_is_physical_Xmax	CONDITIONAL_CANDIDATE_ONLY	not promoted	needs physical profile scale separation owner and broader frame theorem
physical_Xmax_value	OPEN	not calculated	R and global physical ownership
physical_CMB_conclusion	OPEN	not tested	profile source endpoint and observable open
