historical_label	formula	numeric_replay	audit_status
muon_electron	20*pi^3/3	206.708511202	ARITHMETIC_REPRODUCED_NOT_NATIVE_VALIDATION
proton_electron	6*pi^5	1836.11810871	ARITHMETIC_REPRODUCED_NOT_NATIVE_VALIDATION
proton_muon	9*pi^2/10	8.88264396098	ARITHMETIC_REPRODUCED_NOT_NATIVE_VALIDATION
pion_electron	84*pi	263.893782902	ARITHMETIC_REPRODUCED_NOT_NATIVE_VALIDATION
strange_down	2*pi^2	19.7392088022	ARITHMETIC_REPRODUCED_NOT_NATIVE_VALIDATION
charm_up	6*pi^4	584.454546204	ARITHMETIC_REPRODUCED_NOT_NATIVE_VALIDATION
bottom_strange	9*pi^2/2	44.4132198049	ARITHMETIC_REPRODUCED_NOT_NATIVE_VALIDATION
top_charm	14*pi^2	138.174461615	ARITHMETIC_REPRODUCED_NOT_NATIVE_VALIDATION
pmns_12	4/13	0.307692307692	ARITHMETIC_REPRODUCED_NOT_NATIVE_VALIDATION
pmns_23	4/7	0.571428571429	ARITHMETIC_REPRODUCED_NOT_NATIVE_VALIDATION
pmns_13	1/45	0.0222222222222	ARITHMETIC_REPRODUCED_NOT_NATIVE_VALIDATION
weinberg	3/13	0.230769230769	ARITHMETIC_REPRODUCED_NOT_NATIVE_VALIDATION
cabibbo	9/40	0.225	ARITHMETIC_REPRODUCED_NOT_NATIVE_VALIDATION
