id	mutation	expected	observed	result
F01	force_independently_computed_gate_predicate_false	REJECT	REJECT	PASS
F02	force_independently_computed_gate_predicate_false	REJECT	REJECT	PASS
F03	force_independently_computed_gate_predicate_false	REJECT	REJECT	PASS
F04	force_independently_computed_gate_predicate_false	REJECT	REJECT	PASS
F05	force_independently_computed_gate_predicate_false	REJECT	REJECT	PASS
F06	force_independently_computed_gate_predicate_false	REJECT	REJECT	PASS
F07	force_independently_computed_gate_predicate_false	REJECT	REJECT	PASS
F08	force_independently_computed_gate_predicate_false	REJECT	REJECT	PASS
F09	force_independently_computed_gate_predicate_false	REJECT	REJECT	PASS
F10	force_independently_computed_gate_predicate_false	REJECT	REJECT	PASS
F11	force_independently_computed_gate_predicate_false	REJECT	REJECT	PASS
F12	force_independently_computed_gate_predicate_false	REJECT	REJECT	PASS
F13	force_independently_computed_gate_predicate_false	REJECT	REJECT	PASS
F14	force_independently_computed_gate_predicate_false	REJECT	REJECT	PASS
F15	force_independently_computed_gate_predicate_false	REJECT	REJECT	PASS
F16	force_independently_computed_gate_predicate_false	REJECT	REJECT	PASS
F17	force_independently_computed_gate_predicate_false	REJECT	REJECT	PASS
F18	force_independently_computed_gate_predicate_false	REJECT	REJECT	PASS
F19	force_independently_computed_gate_predicate_false	REJECT	REJECT	PASS
F20	force_independently_computed_gate_predicate_false	REJECT	REJECT	PASS
F21	force_independently_computed_gate_predicate_false	REJECT	REJECT	PASS
F22	force_independently_computed_gate_predicate_false	REJECT	REJECT	PASS
F23	force_independently_computed_gate_predicate_false	REJECT	REJECT	PASS
F24	force_independently_computed_gate_predicate_false	REJECT	REJECT	PASS
F25	force_independently_computed_gate_predicate_false	REJECT	REJECT	PASS
F26	force_independently_computed_gate_predicate_false	REJECT	REJECT	PASS
F27	force_independently_computed_gate_predicate_false	REJECT	REJECT	PASS
