literal_reference	first_line	occurrences	sections	base_tracking_status	base_resolved_path	history_resolution_status	history_resolved_path
10000/10k_A_vector_perturbation.py	2791	1	boson_force_mapping	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
10000/10k_C_resonance_map.py	2560	1	hadron_assignment	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
10000/10k_angular_integrals_v2.py	2306	1	lepton_angular	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
10000/10k_bridge_verify.py	3607	1	exterior_mixing_quark_nuclear	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
10000/10k_mixing_angles.py	3607	1	exterior_mixing_quark_nuclear	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
10000/10k_neutrino_sources.py	3607	1	exterior_mixing_quark_nuclear	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
10000/10k_orbit_matching.py	3607	1	exterior_mixing_quark_nuclear	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
10000/10k_pmns_from_action.py	3607	1	exterior_mixing_quark_nuclear	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
10000/10k_radial_em_overlap.py	3607	1	exterior_mixing_quark_nuclear	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
10000/10k_wedge_product.py	3607	1	exterior_mixing_quark_nuclear	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
10k_A_vector_perturbation.json	2731	1	boson_force_mapping	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
10k_angular_v3_pattern.py	2306	1	lepton_angular	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
10k_angular_v4_unified.py	2306	1	lepton_angular	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
10k_baryon_structure.py	2560	1	hadron_assignment	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
10k_baryon_web.py	2560	1	hadron_assignment	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
10k_boson_structure.py	2560	2	boson_force_mapping;hadron_assignment	ABSENT_AT_BASE	-	MISSING_FROM_ALL_GIT_HISTORY	-
