id	premise	status	role
P01	founded phi is additive reciprocal clock/ruler depth	pinned-by-THEORY	current comparison channel
P02	generic noncollinear frame comparison requires angular transport	pinned-by-THEORY	current architecture
P03	ordered pair retains real lambda family	pinned-by-THEORY	current open transverse response
P04	pre-July material cannot supply affirmative UDT physics	pinned-by-PROVENANCE_FIREWALL	historical quarantine
P05	particle labels and observed ratios are not metric inputs	pinned-by-THEORY	anti-targeting rule
P06	S2 carrier remains POSIT/conditional	pinned-by-THEORY	prevents carrier promotion
P07	generic algebraic identities may be comparison tools	pinned-by-METHOD	permits mathematical salvage
P08	current complete coframe and invariant atlases control nativeness	pinned-by-THEORY	cross-map reference
P09	no preferred observer does not prohibit a covariant law on all queries	pinned-by-THEORY	observer framing
P10	no fresh external verifier is launched	pinned-by-SCOPE	limits grade
P11	all historical operations are catalogued before merit is assessed	pinned-by-METHOD	prevents cherry-picking
P12	no physics value boundary source action or carrier is introduced	pinned-by-SCOPE	CPU forensic audit only
