motif	distribution_kind	rank	frobenius_class	rows
FOUR_LINES	COMPLEMENTARY_RANK2	2	NUMERICALLY_NONINTEGRABLE_LOCAL	8370
FOUR_LINES	PRIMITIVE_BLOCK	1	LOCALLY_INTEGRABLE_BY_RANK_ONE	5580
FULL_IRREDUCIBLE_4	PRIMITIVE_BLOCK	4	WHOLE_TANGENT_SPACE	71411
FULL_IRREDUCIBLE_4	UNRESOLVED	-	NOT_CLASSIFIED	7
LINE_PLUS_THREE	PRIMITIVE_BLOCK	1	LOCALLY_INTEGRABLE_BY_RANK_ONE	2880
LINE_PLUS_THREE	PRIMITIVE_BLOCK	3	NUMERICALLY_INTEGRABLE_LOCAL	2879
LINE_PLUS_THREE	PRIMITIVE_BLOCK	3	NUMERIC_UNCERTAIN_OBSTRUCTION	1
NUMERIC_UNCERTAIN	UNRESOLVED	-	NOT_CLASSIFIED	6
SCALAR_4_AMBIGUITY	PRIMITIVE_BLOCK	4	WHOLE_TANGENT_SPACE	11328
TWO_PLUS_TWO_LINES	COMPLEMENTARY_RANK2	2	NUMERICALLY_INTEGRABLE_LOCAL	3072
TWO_PLUS_TWO_LINES	COMPLEMENTARY_RANK2	2	NUMERICALLY_NONINTEGRABLE_LOCAL	13338
TWO_PLUS_TWO_LINES	PRIMITIVE_BLOCK	1	LOCALLY_INTEGRABLE_BY_RANK_ONE	16410
TWO_PLUS_TWO_LINES	PRIMITIVE_BLOCK	2	NUMERICALLY_INTEGRABLE_LOCAL	1536
TWO_PLUS_TWO_LINES	PRIMITIVE_BLOCK	2	NUMERICALLY_NONINTEGRABLE_LOCAL	6669
