catch_id	result
K01_MISSING_BLIND_ANCHOR	REJECTED_AS_REQUIRED
K02_MISSING_PATH_NODE	REJECTED_AS_REQUIRED
K03_MISSING_FAMILY	REJECTED_AS_REQUIRED
K04_MUTATED_COEFFICIENT	REJECTED_AS_REQUIRED
K05_OMITTED_HESSIAN_CONNECTION	REJECTED_AS_REQUIRED
K06_PROJECTOR_PERMUTATION	REJECTED_AS_REQUIRED
K07_MANUFACTURED_GLOBAL_ELIGIBILITY	REJECTED_AS_REQUIRED
K08_FORCED_FINITE_ENDPOINT_Q	REJECTED_AS_REQUIRED
K09_OMITTED_CIRCLE_ACTION	REJECTED_AS_REQUIRED
K10_FALSE_SEED_RELAXED_IDENTITY	REJECTED_AS_REQUIRED
K11_CONSTRUCTION_PROVENANCE_DISCLOSED	REJECTED_AS_REQUIRED
