catch_id	result
K01_MISSING_COVARIANCE_COMPARISON	MUTATION_REJECTED
K02_DUPLICATE_COVARIANCE_COMPARISON	MUTATION_REJECTED
K03_PROJECTOR_COVARIANCE_FAILURE	MUTATION_REJECTED
K04_CLASSIFICATION_DISCORDANCE	MUTATION_REJECTED
K05_PATH_MATCHING_DISCORDANCE	MUTATION_REJECTED
K06_FROBENIUS_SCOPE_PROMOTION	MUTATION_REJECTED
K07_CIRCULAR_TORIC_FORMULA	MUTATION_REJECTED
K08_SEED_BEHAVIOR_MISMATCH	MUTATION_REJECTED
K09_OMITTED_SUPPLIED_CIRCLE_ACTION	MUTATION_REJECTED
K10_IMPORTED_S2_CARRIER	MUTATION_REJECTED
K11_IMPORTED_L2_L4_ACTION	MUTATION_REJECTED
K12_NATIVE_EMERGENCE_PROMOTION	MUTATION_REJECTED
K13_MISSING_DIRECT_SOURCE_LINEAGE	MUTATION_REJECTED
