catch_id	result
K01_MISSING_COVARIANCE_COMPARISON	MUTATION_REJECTED
K02_DUPLICATE_COVARIANCE_COMPARISON	MUTATION_REJECTED
K03_PROJECTOR_COVARIANCE_FAILURE	MUTATION_REJECTED
K04_CLASSIFICATION_DISCORDANCE	MUTATION_REJECTED
K05_PATH_MATCHING_DISCORDANCE	MUTATION_REJECTED
K06_FROBENIUS_SCOPE_PROMOTION	MUTATION_REJECTED
K07_CIRCULAR_TORIC_FORMULA	MUTATION_REJECTED
K08_SEED_BEHAVIOR_MISMATCH	MUTATION_REJECTED
K09_OMITTED_SUPPLIED_CIRCLE_ACTION	MUTATION_REJECTED
K10_IMPORTED_S2_CARRIER	MUTATION_REJECTED
K11_IMPORTED_L2_L4_ACTION	MUTATION_REJECTED
K12_NATIVE_EMERGENCE_PROMOTION	MUTATION_REJECTED
K13_MISSING_DIRECT_SOURCE_LINEAGE	MUTATION_REJECTED
K14_MISSING_EDGE_COMPARISONS	MUTATION_REJECTED
K15_INTRINSIC_COVARIANCE_FAILURE	MUTATION_REJECTED
K16_CONTINUOUS_BUNDLE_PROMOTION	MUTATION_REJECTED
K17_SYMBOLIC_ANGULAR_GAP_MUTATION	MUTATION_REJECTED
K18_HOPF_SEED_SOURCE_MUTATION	MUTATION_REJECTED
K19_HOPF_SEED_SAMPLE_COUNT_MUTATION	MUTATION_REJECTED
K20_UNCERTAINTY_ACCOUNTING_LOSS	MUTATION_REJECTED
K21_SKIPPED_EDGE_ACCOUNTING_LOSS	MUTATION_REJECTED
K22_FIXED_JACOBIAN_SUBSTITUTION	MUTATION_REJECTED
K23_SYMBOLIC_CONNECTION_MUTATION	MUTATION_REJECTED
K24_COORDINATED_POINT_CENSUS_REDISTRIBUTION	MUTATION_REJECTED
K25_COORDINATED_EDGE_SPLIT_AND_REASON_REPLACEMENT	MUTATION_REJECTED
K26_NEGATIVE_RESIDUAL	MUTATION_REJECTED
K27_FABRICATED_SEED_SOURCE_PATH	MUTATION_REJECTED
K28_NEGATIVE_POINT_STATUS_COUNT	MUTATION_REJECTED
K29_NONFINITE_JACOBIAN_DETERMINANT	MUTATION_REJECTED
