catch_id	result
K01_MISSING_IDENTITY	REJECTED_AS_REQUIRED
K02_MISSING_PATH_ROW	REJECTED_AS_REQUIRED
K03_MISSING_FAMILY_SUMMARY	REJECTED_AS_REQUIRED
K04_DUPLICATE_PATH_ROW	REJECTED_AS_REQUIRED
K05_ENDPOINT_MUTATION	REJECTED_AS_REQUIRED
K06_PROJECTOR_RESIDUAL	REJECTED_AS_REQUIRED
K07_DROPPED_UNCERTAINTY	REJECTED_AS_REQUIRED
K08_MANUFACTURED_GLOBAL_ELIGIBILITY	REJECTED_AS_REQUIRED
K09_OPEN_PATH_CALLED_HOLONOMY	REJECTED_AS_REQUIRED
K10_FORCED_FINITE_Q	REJECTED_AS_REQUIRED
K11_OMITTED_ACTION_PREMISE	REJECTED_AS_REQUIRED
K12_IMPORTED_S2_CARRIER	REJECTED_AS_REQUIRED
K13_FALSE_SEED_RELAXED_IDENTITY	REJECTED_AS_REQUIRED
