identity_order	identity_id	bank	carrier_id	mask_id	start_point	end_point	global_domain_status
0	B0_R00_1_M0	B0	R00_1	M0	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
1	B0_R00_1_M1	B0	R00_1	M1	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
2	B0_R00_1_M2	B0	R00_1	M2	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
3	B0_R00_1_M3	B0	R00_1	M3	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
4	B0_R00_1_M4	B0	R00_1	M4	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
5	B0_R00_1_M5	B0	R00_1	M5	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
6	B0_R00_1_M6	B0	R00_1	M6	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
7	B0_R00_1_M7	B0	R00_1	M7	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
8	B0_R00_1_M8	B0	R00_1	M8	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
9	B0_R00_1_M9	B0	R00_1	M9	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
10	B0_R00_1_MA	B0	R00_1	MA	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
11	B0_R00_1_MB	B0	R00_1	MB	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
12	B0_R00_1_MC	B0	R00_1	MC	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
13	B0_R00_1_MD	B0	R00_1	MD	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
14	B0_R00_1_ME	B0	R00_1	ME	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
15	B0_R00_1_MF	B0	R00_1	MF	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
16	B0_R01_1_M0	B0	R01_1	M0	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
17	B0_R01_1_M1	B0	R01_1	M1	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
18	B0_R01_1_M2	B0	R01_1	M2	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
19	B0_R01_1_M3	B0	R01_1	M3	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
20	B0_R01_1_M4	B0	R01_1	M4	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
21	B0_R01_1_M5	B0	R01_1	M5	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
22	B0_R01_1_M6	B0	R01_1	M6	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
23	B0_R01_1_M7	B0	R01_1	M7	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
24	B0_R01_1_M8	B0	R01_1	M8	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
25	B0_R01_1_M9	B0	R01_1	M9	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
26	B0_R01_1_MA	B0	R01_1	MA	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
27	B0_R01_1_MB	B0	R01_1	MB	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
28	B0_R01_1_MC	B0	R01_1	MC	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
29	B0_R01_1_MD	B0	R01_1	MD	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
30	B0_R01_1_ME	B0	R01_1	ME	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
31	B0_R01_1_MF	B0	R01_1	MF	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
32	B0_R02_1_M0	B0	R02_1	M0	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
33	B0_R02_1_M1	B0	R02_1	M1	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
34	B0_R02_1_M2	B0	R02_1	M2	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
35	B0_R02_1_M3	B0	R02_1	M3	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
36	B0_R02_1_M4	B0	R02_1	M4	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
37	B0_R02_1_M5	B0	R02_1	M5	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
38	B0_R02_1_M6	B0	R02_1	M6	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
39	B0_R02_1_M7	B0	R02_1	M7	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
40	B0_R02_1_M8	B0	R02_1	M8	[0.0,0.0,0.0,0.0]	[-0.16666666666666666,-0.14285714285714285,0.125,0.1111111111111111]	LOCAL_ANALYTIC_CHART_ONLY
