candidate	kind	homothety_weight	premise_status	classification	attachment_guard
c_E	conversion	NONE	OBSERVED	INSUFFICIENT_CONVERSION_ONLY	not an interval
G_obs	constant	NONE	OBSERVED	INSUFFICIENT_NO_NATIVE_PLACEMENT	mass dimension remains
c_E_plus_G_obs	constant_pair	NONE	OBSERVED	INSUFFICIENT_NO_LENGTH_MONOMIAL	exact dimensional no-solution
phi_redshift_clock_ratio	dimensionless	0	DERIVED_CONDITIONAL	INSUFFICIENT_WEIGHT_ZERO	preserved by homothety
causal_cones	dimensionless_structure	0	DERIVED_GEOMETRIC	INSUFFICIENT_WEIGHT_ZERO	preserved by positive homothety
normalized_Jacobi_shape	dimensionless_shape	0	DERIVED_CONDITIONAL_G244_G249	INSUFFICIENT_WEIGHT_ZERO	unit determinant shape
matched_proper_time_interval	direct_metric	1	CONDITIONAL_ANCHOR_CLASS	CONDITIONALLY_SUFFICIENT_DIRECT	same identified clock interval required
matched_length_or_Jacobi_amplitude	direct_metric	1	CONDITIONAL_ANCHOR_CLASS	CONDITIONALLY_SUFFICIENT_DIRECT	same branch point and normalization required
matched_screen_or_orbit_area	direct_metric	2	CONDITIONAL_ANCHOR_CLASS	CONDITIONALLY_SUFFICIENT_DIRECT	same screen or orbit required
matched_spatial_three_volume	direct_metric	3	CONDITIONAL_ANCHOR_CLASS	CONDITIONALLY_SUFFICIENT_DIRECT	same region and hypersurface required
matched_spacetime_four_volume	direct_metric	4	CONDITIONAL_ANCHOR_CLASS	CONDITIONALLY_SUFFICIENT_DIRECT	same spacetime region required
matched_nonzero_scalar_curvature_or_tide	direct_metric_invariant	-2	CONDITIONAL_ANCHOR_CLASS	CONDITIONALLY_SUFFICIENT_DIRECT	same event or branch and nonzero invariant required
matched_nonzero_quadratic_curvature	direct_metric_invariant	-4	CONDITIONAL_ANCHOR_CLASS	CONDITIONALLY_SUFFICIENT_DIRECT	same event and nonzero invariant required
G_obs_M_over_c_E_squared	dimensional_composite	1	OBSERVED_CANDIDATE_G132_G202	DIMENSIONALLY_ELIGIBLE_NEEDS_ATTACHMENT	coefficient and metric placement unowned
c_E_over_sqrt_G_obs_rho	dimensional_composite	1	OBSERVED_CANDIDATE_G132_G202	DIMENSIONALLY_ELIGIBLE_NEEDS_ATTACHMENT	density identity coefficient and placement unowned
c_E_squared_over_sqrt_G_obs_epsilon	dimensional_composite	1	OBSERVED_CANDIDATE_G132	DIMENSIONALLY_ELIGIBLE_NEEDS_ATTACHMENT	energy-density identity coefficient and placement unowned
G236_G237_relative_SNe_state	observed_relative_state	0	OBSERVED_PROCESSED_CONDITIONAL	INSUFFICIENT_ABSOLUTE_ZERO_POINT_REMOVED	release offsets remove absolute normalization
G99_M_B_conditional_X_eff	historical_absolute_scale	1	OBSERVED_CONDITIONAL_HISTORICAL	CONDITIONAL_EXTERNAL_CROSSCHECK_NOT_NATIVE_INPUT	depends on P1 external M_B and imported transfer
