branch_id	lambda	event_id	max_nabla_X	clock_ruler	clock_screen	ruler_screen	screen_internal
C01	-2	P00	3	0.12	0.040000000000000001	3	0
C01	-2	P01	3.4316086668305337	0.07076755984466504	0.15526671418699151	3.4316086668305337	0
C01	-2	P02	3.3585463030817371	0.19427984654206598	0.083004775565476543	3.3585463030817371	0
C02	-1	P00	2	0.12	0	2	0
C02	-1	P01	2.1679831199451911	0.07076755984466504	0	2.1679831199451911	0
C02	-1	P02	2.1401688907636918	0.19427984654206598	0	2.1401688907636918	0
C03	0	P00	1	0.12	0.040000000000000001	1	0
C03	0	P01	1.0272479902352303	0.070767559844665012	0.14713898704437076	1.0272479902352303	0
C03	0	P02	1.0228360280733382	0.19427984654206598	0.079339789786604498	1.0228360280733382	0
C04	0.5	P00	0.5	0.12	0.059999999999999998	0.5	0
C04	0.5	P01	0.5	0.070767559844665012	0.21776163608564827	0.5	0
C04	0.5	P02	0.5	0.19427984654206598	0.11767366933839325	0.5	0
C05	1	P00	0.12	0.12	0.080000000000000002	0	0
C05	1	P01	0.28647218284783849	0.070767559844665012	0.28647218284783849	0	0
C05	1	P02	0.19427984654206598	0.19427984654206598	0.15513686966238888	0	0
C06	2	P00	1	0.12	0.12	1	0
C06	2	P01	0.92251640780789945	0.070767559844665012	0.41831016303410695	0.92251640780789945	0
C06	2	P02	0.93450568720598759	0.19427984654206598	0.22750988243141751	0.93450568720598759	0
