catch_id	result	corruption_or_overclaim
F01	PASS	premise_stamp_deleted_or_promoted
F02	PASS	candidate_lambda_added_removed_or_retuned
F03	PASS	event_or_loop_added_removed_after_preregistration
F04	PASS	loop_removed_for_identity_or_nonclosure
F05	PASS	GPU_or_non_float64_result_admitted
F06	PASS	global_and_stereographic_coframes_disagree_over_tolerance
F07	PASS	Lorentz_residual_over_tolerance_admitted
F08	PASS	direct_two_half_residual_over_tolerance_admitted
F09	PASS	fine_coarse_residual_over_tolerance_admitted
F10	PASS	independent_RK4_holdout_missing_or_over_tolerance
F11	PASS	coordinate_curvature_holdout_missing_or_over_tolerance
F12	PASS	curvature_Lie_rank_uses_unregistered_tolerance
F13	PASS	nablaX_block_or_exact_P00_anchor_omitted
F14	PASS	ordinary_holonomy_called_reciprocal_inversion
F15	PASS	pair_frame_reset_called_physical_seam_or_quotient
F16	PASS	spectrum_match_used_without_Lorentz_eigenspace_signature
F17	PASS	one_loop_closure_or_nonclosure_selects_branch
F18	PASS	full_local_holonomy_called_global_topology_classification
F19	PASS	off_shell_holonomy_called_solution_prediction_or_validation
F20	PASS	ordinary_endpoint_failure_called_failure_of_path_groupoid
F21	PASS	bounded_sample_called_all_profiles_or_all_loops
F22	PASS	path_topology_seam_or_inversion_selected
F23	PASS	action_source_carrier_density_bootstrap_mass_Xmax_or_dynamics_inferred
F24	PASS	copresence_or_operational_access_promoted
