premise_id	premise	status	use	not_supplied
P01	founded_phi_reciprocal_character	pinned_by_THEORY	clock_ruler_weights	physical_profile
P02	copresence	WORKING_INTERPRETIVE_FRAME	carried_only	access_or_field_equation
P03	metric_causal_structure	DERIVED_CONDITIONAL	Lorentz_connection_typing	matter_signal_response
P04	instantaneous_operational_access	NOT_DERIVED	excluded	signalling_theorem
P05	complete_whole_solution_law	OPEN	excluded	on_shell_selection
P06	C01_to_C06_metric_family	free-and-explored_frozen_configuration	holonomy_atlas	physical_solution
P07	profile_epsilon_twist	CHOSE_FREE_PARENT_WITNESS	unchanged_geometry	field_equation_or_fit
P08	lambda	free-and-explored_six_frozen_values	complete_candidate_census	selector
P09	P00_P01_P02_events	CHOSE_FREE_PREREGISTERED_SAMPLE	local_connection_and_curvature	preferred_location
P10	G1_G2_G3_L12_L23_L31_loops	CHOSE_FREE_PREREGISTERED_SAMPLE	closed_transport_probes	physical_path_rule
P11	X_lambda	pinned_by_parent_reciprocal_screen_lift	closure_diagnostic	parallel_or_selected_structure
P12	Levi_Civita_connection	pinned_by_metric_geometry	ordinary_holonomy	action_or_matter_transport
P13	DOP853_and_RK4_controls	CHOSE_NUMERICAL_CONTROL	transport_certification	continuum_change
P14	c_E_R_equals_one	pinned_by_parent_units	dimensionless_geometry	physical_universe_scale
P15	action_source_carrier_boundary_density_bootstrap_mass_Xmax_dynamics	OPEN_OR_CONDITIONAL	excluded	complete_physics
