lambda	loop_id	steps	step	RK4_DOP853_max_difference	RK4_Lorentz_residual
-2	G1	4096	2pi/4096	4.0034642267983145e-13	8.1046280797636427e-15
-2	G2	4096	2pi/4096	1.8662849043948881e-13	7.6605388699135801e-15
-2	G3	4096	2pi/4096	9.2648111404969313e-14	7.7715611723760958e-15
0	G1	4096	2pi/4096	3.2357450052700187e-13	5.5511151231257827e-15
0	G2	4096	2pi/4096	2.3409052474221426e-13	7.6605388699135801e-15
0	G3	4096	2pi/4096	1.6109336087311021e-13	1.3322676295501878e-14
1	G1	4096	2pi/4096	2.9127394940431373e-13	5.8841820305133297e-15
1	G2	4096	2pi/4096	2.9511115773317442e-13	2.6645352591003757e-15
1	G3	4096	2pi/4096	2.9344842528145065e-13	3.4416913763379853e-15
2	G1	4096	2pi/4096	2.7176871864043051e-13	1.2434497875801753e-14
2	G2	4096	2pi/4096	3.3839597790574771e-13	1.1324274851176597e-14
2	G3	4096	2pi/4096	4.4281245337174369e-13	2.1760371282653068e-14
