claim	status	scope	remaining_open
stationary_scalar_clock_join	CONDITIONAL	derived_on_frozen_stationary_branch_logQ_equals_Delta_phi	physical_profile_and_whole_solution_law
exact_local_nonparallel_anchor	DERIVED	P00_frozen_profile_all_real_lambda	other_profiles_and_on_shell_branches
sampled_curvature_holonomy_algebra	OBSERVED	independently_verified_18_of_18_rows_full_so_1_3	all_events_profiles_and_physical_selection
ordinary_endpoint_X_closure	OBSERVED	fails_on_36_of_36_registered_loops	other_on_shell_geometries
Lorentz_holonomy_as_reciprocal_inversion	DERIVED	impossible_because_X_lambda_not_Lorentz_conjugate_to_minus_X_lambda_all_real_lambda	external_non_Lorentz_transition_not_supplied
path_groupoid_reciprocal_lift	DERIVED	given_specified_path_and_parent_connection	physical_path_or_endpoint_rule
ordinary_vs_twisted_vs_groupoid_selection	OPEN	no_current_premise_selects	global_completion_or_whole_solution_law
physical_lambda_profile_topology	OPEN	off_shell_witnesses_only	on_shell_selector
action_source_carrier_boundary_density_bootstrap_mass_Xmax_dynamics	OPEN	excluded_from_this_audit	complete_physics
copresence	WORKING_INTERPRETIVE_FRAME	carried_only	operational_access_theorem
