branch_id	lambda	event_id	curvature_span_rank	lie_closure_rank	centralizer_dimension_in_holonomy	max_basis_commutator_with_X	lie_singular_values
C01	-2	P00	6	6	1	2.0935775842332127	0.97541529315517028;0.88539395437342305;0.73869989992081797;0.6627089504883199;0.45713491111442373;0.26610059992051432
C01	-2	P01	6	6	1	1.7106968164154508	1.0991690252195585;1.0218540065407247;0.58267151242014559;0.48428320968728389;0.3550747130234424;0.21800796525557736
C01	-2	P02	6	6	1	2.054637120896301	1.0325796468118722;0.91074803391061676;0.71145203083707731;0.65076878618328682;0.41782873455403391;0.0085108781051369074
C02	-1	P00	6	6	3	1.4005771910443225	0.96560974744787886;0.84219205948862796;0.74195307541684141;0.66501099918530482;0.53050444923743079;0.2900713442401554
C02	-1	P01	6	6	3	1.2546440103826988	1.0802490226924018;1.0352767740432012;0.63283309228993523;0.47994673256701037;0.32029064145630837;0.16688728620038673
C02	-1	P02	6	6	3	1.4033895039495674	0.98674473014237896;0.9284316899679258;0.7197149990703845;0.64301871580380365;0.3982821149376729;0.27250328944705088
C03	0	P00	6	6	1	1.3361936754990797	0.95749790293983217;0.79367021230836909;0.73859904961293765;0.6739303877967765;0.59649218151690886;0.31268468728795007
C03	0	P01	6	6	1	1.3709112195895274	1.0251935260778096;0.99042537424734922;0.69896095824481197;0.50070854290164357;0.43465038167303;0.19964816994262971
C03	0	P02	6	6	1	1.4048656691741122	0.9764615563294412;0.86054299987941829;0.72785752796555425;0.61794716843353414;0.50997357037508995;0.36644269387852563
C04	0.5	P00	6	6	1	1.3385164938233243	0.95390390419272275;0.77927763654716331;0.72214855953984181;0.68717131323629155;0.62003685222312932;0.32348887592655123
C04	0.5	P01	6	6	1	1.3914858488368362	0.98569104757258952;0.87078745553767278;0.7289133810724463;0.55346870452926655;0.49755442391181298;0.43004608736679645
C04	0.5	P02	6	6	1	1.4055582408972207	0.99381443927128732;0.8273736208652267;0.71742513933593055;0.60238555985581377;0.57532840264489993;0.34527639309450114
C05	1	P00	6	6	3	1.3407663838032078	0.95063136462775955;0.779584034961193;0.71155632731267637;0.68754444131177472;0.630871898064854;0.33394553977289848
C05	1	P01	6	6	3	1.3869829309643151	0.94710559912786485;0.83367749334172769;0.69880427545636981;0.62432674552290923;0.56894705225808284;0.45404930607986965
C05	1	P02	6	6	3	1.4061715866268794	1.0153289723108834;0.83871869403608812;0.70818925645416098;0.60663913381060175;0.54359822356313792;0.3172001575850007
C06	2	P00	6	6	1	2.0171576378263651	0.94602775740175926;0.82715130735510978;0.75119923680878908;0.64819297261837194;0.55808323274696947;0.35346977120946699
C06	2	P01	6	6	1	1.836398211897444	1.0585462270161923;0.87774506062553093;0.69859390096929075;0.63766590330306328;0.46253225813267085;0.021357932885848811
C06	2	P02	6	6	1	1.6522310225678505	1.0718051667151178;0.94338861744945268;0.68530790394604546;0.55786014521554572;0.36297031890936243;0.22056582652258813
