catch_id	corruption_or_overclaim	required_rejection
F01	premise_stamp_deleted_or_promoted	FAIL_G01
F02	candidate_lambda_added_removed_or_retuned	FAIL_G02
F03	event_or_loop_added_removed_after_preregistration	FAIL_G03
F04	loop_removed_for_identity_or_nonclosure	FAIL_G04
F05	GPU_or_non_float64_result_admitted	FAIL_G05
F06	global_and_stereographic_coframes_disagree_over_tolerance	FAIL_G06
F07	Lorentz_residual_over_tolerance_admitted	FAIL_G07
F08	direct_two_half_residual_over_tolerance_admitted	FAIL_G08
F09	fine_coarse_residual_over_tolerance_admitted	FAIL_G09
F10	independent_RK4_holdout_missing_or_over_tolerance	FAIL_G10
F11	coordinate_curvature_holdout_missing_or_over_tolerance	FAIL_G11
F12	curvature_Lie_rank_uses_unregistered_tolerance	FAIL_G12
F13	nablaX_block_or_exact_P00_anchor_omitted	FAIL_G13
F14	ordinary_holonomy_called_reciprocal_inversion	FAIL_G14
F15	pair_frame_reset_called_physical_seam_or_quotient	FAIL_G15
F16	spectrum_match_used_without_Lorentz_eigenspace_signature	FAIL_G16
F17	one_loop_closure_or_nonclosure_selects_branch	FAIL_G17
F18	full_local_holonomy_called_global_topology_classification	FAIL_G18
F19	off_shell_holonomy_called_solution_prediction_or_validation	FAIL_G19
F20	ordinary_endpoint_failure_called_failure_of_path_groupoid	FAIL_G20
F21	bounded_sample_called_all_profiles_or_all_loops	FAIL_G21
F22	path_topology_seam_or_inversion_selected	FAIL_G22
F23	action_source_carrier_density_bootstrap_mass_Xmax_or_dynamics_inferred	FAIL_G23
F24	copresence_or_operational_access_promoted	FAIL_G24
