node_id	lambda	role	method
N01	-4	production_interpolation	exact_rational_metric_jets
N02	-3	production_interpolation	exact_rational_metric_jets
N03	-2	production_interpolation	exact_rational_metric_jets
N04	-1	production_interpolation	exact_rational_metric_jets
N05	0	production_interpolation	exact_rational_metric_jets
N06	1	production_interpolation	exact_rational_metric_jets
N07	2	production_interpolation	exact_rational_metric_jets
N08	3	production_interpolation	exact_rational_metric_jets
N09	4	production_interpolation	exact_rational_metric_jets
N10	5	production_interpolation	exact_rational_metric_jets
H01	-7/2	exact_holdout	exact_rational_metric_jets
H02	-5/2	exact_holdout	exact_rational_metric_jets
H03	-1/2	exact_holdout	exact_rational_metric_jets
H04	1/2	exact_holdout	exact_rational_metric_jets
H05	3/2	exact_holdout	exact_rational_metric_jets
H06	5/2	exact_holdout	exact_rational_metric_jets
H07	7/2	exact_holdout	exact_rational_metric_jets
T01	-5/2	Torch_holdout	independent_full_Riemann_autodiff
T02	-1/2	Torch_holdout	independent_full_Riemann_autodiff
T03	3/4	Torch_holdout	independent_full_Riemann_autodiff
T04	3/2	Torch_holdout	independent_full_Riemann_autodiff
T05	7/2	Torch_holdout	independent_full_Riemann_autodiff
