id	object	status	exact_scope	remaining_open
S01	copresence	WORKING_INTERPRETIVE_FRAME	whole_candidate_solution reading	derivation or replacement
S02	metric_causal_structure	DERIVED_CONDITIONAL	Lorentzian metric cones	matter signal response
S03	instantaneous_operational_access	NOT_DERIVED	explicitly excluded	complete response law
S04	complete_whole_solution_law	OPEN	not supplied	action or global admissibility
S05	D_lambda_degree_bound	DERIVED_EXACT	degree_at_most_9	other axes
S06	D_lambda_actual_polynomial	DERIVED_EXACT	degree_7_fixed_complete_slice	other profiles events and invariants
S07	real_certificate_roots	DERIVED_EXACT	7_simple_roots_full_real_axis	root intrinsic meaning
S08	certificate_intervals	DERIVED_EXACT	8_open_lambda_intervals	full configuration components
S09	C01_C02_C03_assignment	DERIVED_EXACT	I03_lambda_slice	other axis connections
S10	C04_C05_assignment	DERIVED_EXACT	I05_lambda_slice	other axis connections
S11	C06_assignment	DERIVED_EXACT	I06_lambda_slice	other axis connections
S12	other_depth_twist_slice_coframe_gates	DERIVED_PERSISTENT_ON_SLICE	all_real_lambda	other axes
S13	D_zero_intrinsic_meaning	OPEN	certificate_rank_loss_only	alternative events invariants and Killing system
S14	lambda_selection	OPEN	not inferred	whole solution selector
S15	full_configuration_component_structure	OPEN	one_axis_only	profile_twist_scale_topology directions
S16	endpoint_path_and_access_semantics	OPEN_OR_NOT_DERIVED	excluded	complete comparison and response law
S17	action_boundary_carrier_source_density_bootstrap_mass_Xmax_dynamics	OPEN_OR_CONDITIONAL	outside audit	complete physics
S18	overall	VERIFIED_WITH_CAVEATS_EXACT_ONE_AXIS_CERTIFICATE_ATLAS	exact_polynomial_Sturm_and_Torch	no_external_model_or_root_resolution
