catch_id	result	exercise
F01	PASS	instant_access_rejected
F02	PASS	stamp_loss_rejected
F03	PASS	axis_retake_rejected
F04	PASS	degree_change_rejected
F05	PASS	missing_node_rejected
F06	PASS	float_interpolation_rejected
F07	PASS	holdout_mismatch_rejected
F08	PASS	false_degree_rejected
F09	PASS	missing_root_rejected
F10	PASS	multiplicity_change_rejected
F11	PASS	missing_interval_rejected
F12	PASS	missing_center_rejected
F13	PASS	other_gate_claim_rejected
F14	PASS	loose_tolerance_rejected
F15	PASS	clock_loss_rejected
F16	PASS	symmetry_overclaim_rejected
F17	PASS	singularity_overclaim_rejected
F18	PASS	full_component_overclaim_rejected
F19	PASS	lambda_selection_rejected
F20	PASS	semantic_selection_rejected
F21	PASS	physics_inference_rejected
F22	PASS	node_retune_rejected
