premise_id	premise	status	use	not_supplied
P01	founded_phi_reciprocal_clock_ruler_weights	pinned_by_THEORY	complete_coframe	profile_or_solution selector
P02	copresence	WORKING_INTERPRETIVE_FRAME	whole_candidate_solution reading	solution law or access
P03	metric_causal_structure	DERIVED_CONDITIONAL	metric classification	matter signal response
P04	instantaneous_operational_access	NOT_DERIVED	excluded	signalling theorem
P05	complete_whole_solution_law	OPEN	excluded	action or admissibility law
P06	fixed_complete_R_times_S3_family	pinned_by_parent_bounded_family	lambda axis atlas	other completions
P07	phi_equals_f_over_50	CHOSE_FREE_BOUNDED_WITNESS	fixed slice	field equation or physical profile
P08	a_equals_1_over_64	CHOSE_FREE_BOUNDED_WITNESS	fixed nonzero twist	physical twist
P09	R_equals_1	pinned_by_units	fixed scale slice	physical scale selection
P10	lambda_real	free-and-explored_full_axis	component axis	physical lambda
P11	north_event	free-and-tested_certificate_point	D_lambda	preferred event
P12	I1_I2_I3	pinned_by_metric_geometry	certificate determinant	complete invariant basis
P13	degree_at_most_nine	pinned_by_three_jet_derivative_count	exact interpolation	physical law
P14	production_nodes	preregistered_deterministic	reconstruct polynomial	adaptive sampling
P15	exact_holdouts	preregistered_deterministic	falsify interpolation	new candidates
P16	Torch_holdouts	preregistered_independent_method	cross_geometry replay	exact root authority
P17	D_zero_semantics	CERTIFICATE_DEGENERATION_ONLY	interval boundary	clock loss or singularity
P18	action_boundary_carrier_source_density_bootstrap_mass_Xmax_dynamics	OPEN_OR_CONDITIONAL	excluded	complete physics
