node_id	lambda	determinant	exact
N01	-4	-3512122760025221093727901/2560000000000000000000	YES
N02	-3	-12193765180746782879647/20000000000000000000	YES
N03	-2	-2586419255942132452232013/12800000000000000000000	YES
N04	-1	-237144354459533365609333/6400000000000000000000	YES
N05	0	-37996364156600104637/102400000000000000000	YES
N06	1	-188002280036397326727/128000000000000000000	YES
N07	2	4296761486911167086447/2560000000000000000000	YES
N08	3	-132775475587028182842659/6400000000000000000000	YES
N09	4	-2458191257779039592584641/12800000000000000000000	YES
N10	5	-239605732099757031585311/320000000000000000000	YES
