gate_id	property	required_certificate
G01	source_integrity	17_of_17_manifest_replay
G02	premise_stamp_integrity	exact_four_statuses
G03	frozen_axis_integrity	phi_a_R_event_invariants_unchanged
G04	degree_bound	gradient_degree_le_3_and_D_degree_le_9
G05	production_node_completeness	10_exact_unique_nodes
G06	exact_reconstruction	all_10_nodes_reproduced
G07	exact_holdouts	7_of_7_reproduced
G08	actual_degree	exact_leading_nonzero_coefficient_reported
G09	root_completeness	all_real_roots_and_multiplicities isolated
G10	independent_Sturm	root_count_and_interval signs reproduced
G11	interval_partition	all_real_open_intervals listed
G12	center_assignment	C01_through_C06_each_assigned_once
G13	other_gate_persistence	depth_twist_slice_coframe_independent_of_lambda
G14	Torch_cross_method	5_of_5_holdouts_with_preregistered_tolerance
G15	degeneration_scope	D_zero_not_clock_loss_symmetry_or_singularity
G16	component_scope	lambda_certificate_intervals_not_full_configuration components
G17	no_lambda_selection	no_interval_promoted_to_physical preference
G18	semantic_scope	no_access_endpoint_or_path law
G19	physics_scope	no_action_dynamics_carrier_source_density_bootstrap_mass_or_Xmax inference
G20	independent_corruption_catches	all_preregistered_fail_closed
