item	status	use_in_G301	forbidden_promotion
F1_F4	FOUNDED_OR_DECLARED	metric and reciprocal provenance	profile history or field equation
W1	WORKING_FOUNDATIONAL_CLARIFICATION	completed-pair normalization only	dynamics residual
W3	WORKING_POSIT_NOT_CANON	quiet GR comparison inclusion	global imported GR dynamics
W4	WORKING_FOUNDATIONAL_CLARIFICATION	one complete physical metric	unique residual
W5	WORKING_FOUNDATIONAL_CLARIFICATION	complete projective relation state	proper distance or history law
W6	WORKING_FOUNDATIONAL_CLARIFICATION	controllable response remains metric-causal	formula locality or principal symbol
G295	DERIVED_BOUNDED_TYPE_CLASSIFICATION	law plus lawful data distinction and causal propagation gate	unique formula
G296	DERIVED_BOUNDED_ORDER_CLASSIFICATION	complete metric state and first local curvature home	field equation
G300	EXTERNALLY_REFUTED_AND_REPAIRED_WITH_CAVEATS	operational query choice removed from dynamics gap	lawful population or history
four_dimensional_Lorentz_metric	DECLARED_ARENA	bounded local metric lane	unique global UDT arena
metric_only	BINDING_PROGRAM_PRINCIPLE_PLUS_BOUNDED_CHOICE	no auxiliary physical field in this tile	proof no relational or global law exists
locality	FREE_AND_EXPLORED_CANDIDATE_PREMISE	pointwise two-jet classification	UDT-derived locality
metric_order_two	FREE_AND_EXPLORED_CANDIDATE_PREMISE	G296 first local home tile	global order cap
symmetric_rank_two	FREE_AND_EXPLORED_CANDIDATE_PREMISE	classifiable metric residual codomain	unique covariant residual type
smooth_at_flat_quiet	FREE_AND_EXPLORED_CANDIDATE_PREMISE	exclude singular direction-ratio laws	derived analytic regularity
curvature_weight_one	FREE_AND_EXPLORED_CANDIDATE_PREMISE	formal scale-free homogeneity	derived from c_E
no_independent_dimensionful_scale	FREE_AND_EXPLORED_CANDIDATE_PREMISE	exclude hidden operator ruler	proof no solution-generated scale exists
unoriented_metric_naturality	FREE_AND_EXPLORED_CANDIDATE_PREMISE	Lorentz-equivariant contraction class	proof orientation can never matter
nonidentity	DEFINITIONAL_PHYSICAL_LAW_GATE	exclude zero residual	selected normalization
complete_quiet_principal_rank	FREE_AND_EXPLORED_CANDIDATE_PREMISE	reject scalar-only metric propagation	full nonlinear wellposedness theorem
contracted_Bianchi	STANDARD_GEOMETRY_IDENTITY	classify differential consequences	selected divergence-free law
identity_divergence_free	NOT_ASSUMED_G259_CANDIDATE	post-classification discriminator	UDT-owned premise
observations_sources_matter_action_scale_Xmax	OPEN_EXCLUDED	no role	selector or calibration
protected_packages	EXCLUDED	no input	citation evidence or reconstruction
