item	registry_ids	disposition	category	source	reason_or_remaining_gate
CP1	G383	PROPOSED_EXACT_SCOPE_ACCEPTANCE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_g313_curvature_phase_current_candidate_2026-09-06/CANDIDATE_ARGUMENT.md	Source/readiness passed; final integration gates pending.
HB2	G384	PROPOSED_EXACT_SCOPE_ACCEPTANCE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_hopfion_bridge_stability_reassessment_2026-09-08/step_02/CANDIDATE_INITIAL.md	Source/readiness passed; final integration gates pending.
HB3	G385	PROPOSED_EXACT_SCOPE_ACCEPTANCE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_hopfion_bridge_stability_reassessment_2026-09-08/step_03/CANDIDATE_INITIAL.md	Source/readiness passed; final integration gates pending.
BI2	G386	PROPOSED_EXACT_SCOPE_ACCEPTANCE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_berger_initial_data_preservation_campaign_2026-09-08/step_02/CANDIDATE_INITIAL.md	Source/readiness passed; final integration gates pending.
BI3	G387	PROPOSED_EXACT_SCOPE_ACCEPTANCE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_berger_initial_data_preservation_campaign_2026-09-08/step_03/CANDIDATE_INITIAL.md	Source/readiness passed; final integration gates pending.
NR1	G388	PROPOSED_EXACT_SCOPE_ACCEPTANCE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_nonlinear_mode_realizability_campaign_2026-09-09/step_01/INITIAL_CANDIDATE.md	Source/readiness passed; final integration gates pending.
NR2	G389	PROPOSED_EXACT_SCOPE_ACCEPTANCE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_nonlinear_mode_realizability_campaign_2026-09-09/step_02/INITIAL_CANDIDATE.md	Source/readiness passed; final integration gates pending.
LG1	G390	PROPOSED_EXACT_SCOPE_ACCEPTANCE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_localized_geometry_campaign_2026-09-09/step_01/CANDIDATE.md	Source/readiness passed; final integration gates pending.
LG2	G391	PROPOSED_EXACT_SCOPE_ACCEPTANCE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_localized_geometry_campaign_2026-09-09/step_02/CANDIDATE.md	Source/readiness passed; final integration gates pending.
LE1	G392	PROPOSED_EXACT_SCOPE_ACCEPTANCE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_localized_evolution_followup_2026-09-09/CANDIDATE.md	Source/readiness passed; final integration gates pending.
SE1	G393	PROPOSED_EXACT_SCOPE_ACCEPTANCE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_spatial_curvature_evolution_2026-09-09/CANDIDATE.md	Source/readiness passed; final integration gates pending.
NE1	G394	PROPOSED_EXACT_SCOPE_ACCEPTANCE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_nonlinear_ripple_geometry_2026-09-09/INITIAL_CANDIDATE.md	Source/readiness passed; final integration gates pending.
ND1	G395	PROPOSED_EXACT_SCOPE_ACCEPTANCE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_native_response_discrimination_2026-09-09/step_01/CANDIDATE.md	Source/readiness passed; final integration gates pending.
ND2	G396	PROPOSED_EXACT_SCOPE_ACCEPTANCE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_native_response_discrimination_2026-09-09/step_02/CANDIDATE.md	Source/readiness passed; final integration gates pending.
QC1	G397	PROPOSED_EXACT_SCOPE_ACCEPTANCE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_quiet_correspondence_campaign_2026-09-10/step_01/CANDIDATE.md	Source/readiness passed; final integration gates pending.
QC2	G398	PROPOSED_EXACT_SCOPE_ACCEPTANCE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_quiet_correspondence_campaign_2026-09-10/step_02/CANDIDATE.md	Source/readiness passed; final integration gates pending.
GL1	G399	PROPOSED_EXACT_SCOPE_ACCEPTANCE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_gr_limit_campaign_2026-09-10/step_01/CANDIDATE.md	Source/readiness passed; final integration gates pending.
GL2	G400	PROPOSED_EXACT_SCOPE_ACCEPTANCE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_gr_limit_campaign_2026-09-10/step_02/CANDIDATE.md	Source/readiness passed; final integration gates pending.
RF1	G401	PROPOSED_EXACT_SCOPE_ACCEPTANCE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_response_foundations_campaign_2026-09-10/CANDIDATE.md	Source/readiness passed; final integration gates pending.
NCI1	G402	PROPOSED_EXACT_SCOPE_ACCEPTANCE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_null_clock_depth_integrability_assessment_2026-09-10/INITIAL_CANDIDATE.md	Source/readiness passed; final integration gates pending.
DCI1	G403	PROPOSED_EXACT_SCOPE_ACCEPTANCE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_directional_clock_curvature_whiteboard_2026-09-10/INITIAL_CANDIDATE.md	Source/readiness passed; final integration gates pending.
KTI1	G404	PROPOSED_EXACT_SCOPE_ACCEPTANCE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_kernel_twist_information_audit_2026-09-10/INITIAL_CANDIDATE.md	Source/readiness passed; final integration gates pending.
ER1	G405	PROPOSED_EXACT_SCOPE_ACCEPTANCE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_exact_metric_kernel_expansion_2026-09-10/INITIAL_CANDIDATE.md	Source/readiness passed; final integration gates pending.
TM1	G406	PROPOSED_EXACT_SCOPE_ACCEPTANCE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_tidal_measurement_feasibility_campaign_2026-09-07/step_01/CANDIDATE_ARGUMENT.md	Source/readiness passed; final integration gates pending.
TM2	G407	PROPOSED_EXACT_SCOPE_ACCEPTANCE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_tidal_measurement_feasibility_campaign_2026-09-07/step_02/CANDIDATE_ARGUMENT.md	Source/readiness passed; final integration gates pending.
CO1	G408	PROPOSED_EXACT_SCOPE_ACCEPTANCE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_complementary_wave_observable_campaign_2026-09-07/step_01/CANDIDATE.md	Source/readiness passed; final integration gates pending.
CO2	G409	PROPOSED_EXACT_SCOPE_ACCEPTANCE	BANKED_CONDITIONAL_DESIGN_CONTROL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_complementary_wave_observable_campaign_2026-09-07/step_02/CANDIDATE.md	Source/readiness passed; final integration gates pending.
RD1	G410	PROPOSED_EXACT_SCOPE_ACCEPTANCE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_gw_response_robustness_design_campaign/step_01/CANDIDATE.md	Source/readiness passed; final integration gates pending.
LC2	G411	PROPOSED_EXACT_SCOPE_ACCEPTANCE	BANKED_CONDITIONAL_PUBLISHED_SUMMARY_BENCHMARK__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_local_clock_metric_benchmark_campaign_2026-09-07/step_01/COMPARISON_CONTRACT.md	Source/readiness passed; final integration gates pending.
FW2	G412	PROPOSED_EXACT_SCOPE_ACCEPTANCE	BANKED_REVIEWED_FINITE_PROCEDURE_RESULT__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_gw170817_fixed_window_test_campaign_2026-09-07/step_01/CANDIDATE.md	Source/readiness passed; final integration gates pending.
content_bridge	G353--G356	ALREADY_BANKED	EXISTING_EXACT_REGISTRY_GRADE	CURRENT_SCIENTIFIC_PREMISES.tsv	Historical UNPROMOTED headers do not revoke later acceptance; no duplicate entry.
shared_readout_constraints	G357--G360	ALREADY_BANKED	EXISTING_EXACT_REGISTRY_GRADE	CURRENT_SCIENTIFIC_PREMISES.tsv	Historical UNPROMOTED headers do not revoke later acceptance; no duplicate entry.
phase_product_persistence	G361--G363	ALREADY_BANKED	EXISTING_EXACT_REGISTRY_GRADE	CURRENT_SCIENTIFIC_PREMISES.tsv	Historical UNPROMOTED headers do not revoke later acceptance; no duplicate entry.
recipe_restrictiveness	G364--G366	ALREADY_BANKED	EXISTING_EXACT_REGISTRY_GRADE	CURRENT_SCIENTIFIC_PREMISES.tsv	Historical UNPROMOTED headers do not revoke later acceptance; no duplicate entry.
source_metric_connection	G367--G369	ALREADY_BANKED	EXISTING_EXACT_REGISTRY_GRADE	CURRENT_SCIENTIFIC_PREMISES.tsv	Historical UNPROMOTED headers do not revoke later acceptance; no duplicate entry.
metric_source_reconstruction	G370--G371	ALREADY_BANKED	EXISTING_EXACT_REGISTRY_GRADE	CURRENT_SCIENTIFIC_PREMISES.tsv	Historical UNPROMOTED headers do not revoke later acceptance; no duplicate entry.
optional_coupled_development	G372--G373	ALREADY_BANKED	EXISTING_EXACT_REGISTRY_GRADE	CURRENT_SCIENTIFIC_PREMISES.tsv	Historical UNPROMOTED headers do not revoke later acceptance; no duplicate entry.
vacuum_common_scale	G374--G375	ALREADY_BANKED	EXISTING_EXACT_REGISTRY_GRADE	CURRENT_SCIENTIFIC_PREMISES.tsv	Historical UNPROMOTED headers do not revoke later acceptance; no duplicate entry.
BI1_and_Berger_global_constraints	G376--G378	ALREADY_BANKED	EXISTING_EXACT_REGISTRY_GRADE	CURRENT_SCIENTIFIC_PREMISES.tsv	Historical UNPROMOTED headers do not revoke later acceptance; no duplicate entry.
closed_fibres	G379--G380	ALREADY_BANKED	EXISTING_EXACT_REGISTRY_GRADE	CURRENT_SCIENTIFIC_PREMISES.tsv	Historical UNPROMOTED headers do not revoke later acceptance; no duplicate entry.
neighboring_tidal_consistency	G381--G382	ALREADY_BANKED	EXISTING_EXACT_REGISTRY_GRADE	CURRENT_SCIENTIFIC_PREMISES.tsv	Historical UNPROMOTED headers do not revoke later acceptance; no duplicate entry.
SC1		RETAIN_DOCUMENT_CONTROL_OR_OPEN_GATE	NO_NEW_SCIENTIFIC_GRADE	udt_shared_readout_metric_constraint_campaign_2026-09-06/DECISION_BRIEF.md	Source map retained as navigation/control, not a standalone derived claim.
PE1		RETAIN_DOCUMENT_CONTROL_OR_OPEN_GATE	NO_NEW_SCIENTIFIC_GRADE	udt_goce_product_eligibility_audit_2026-09-07/DECISION_BRIEF.md	Reviewed documentary gate: deployed processor/configuration, calibration support and justified joint errors remain OPEN; no device certification.
GOCE_documentation		RETAIN_DOCUMENT_CONTROL_OR_OPEN_GATE	NO_NEW_SCIENTIFIC_GRADE	udt_goce_documentation_followup_2026-09-07/DECISION_BRIEF.md	Documentation/enquiry draft retained; current enquiry remains UNSENT, product eligibility OPEN. Old await-reply language is historical.
ORS1--ORS3		RETAIN_DOCUMENT_CONTROL_OR_OPEN_GATE	NO_NEW_SCIENTIFIC_GRADE	udt_observational_route_selection_campaign_2026-09-07/DECISION_BRIEF.md	Historical route-selection/source map; useful geometric/benchmark consequences are scoped in the accepted successors, not a current route endorsement.
LC1		RETAIN_DOCUMENT_CONTROL_OR_OPEN_GATE	NO_NEW_SCIENTIFIC_GRADE	udt_local_clock_metric_benchmark_campaign_2026-09-07/step_01/COMPARISON_CONTRACT.md	Entire contract included under G411=LC2; not a second experiment or separate outcome.
FW1		RETAIN_DOCUMENT_CONTROL_OR_OPEN_GATE	NO_NEW_SCIENTIFIC_GRADE	udt_gw170817_fixed_window_test_campaign_2026-09-07/step_01/CANDIDATE.md	Entire R1 finite freeze included under G412=FW2; no event or empirical-response gate cleared.
RD2		RETAIN_DOCUMENT_CONTROL_OR_OPEN_GATE	NO_NEW_SCIENTIFIC_GRADE	udt_gw_response_robustness_design_campaign/DECISION_BRIEF.md	Never executed; practical support/response/error bridge remains uncleared. No promotion of a nonexistent result.
