object	source	degree	presentation	exactness	production
dphi	founded_phi	1	SCALAR_FIELD_INTRINSIC	EXACT	DERIVED
dsigma	screen_detP	1	REGISTERED_SPLIT_RELATIVE_O2_INVARIANT	EXACT	DERIVED_GIVEN_SPLIT
dlog_abs_m	S3_Maurer_Cartan_decomposition_label_m	1	FIXED_MAURER_CARTAN_PRESENTATION_ONLY	-dphi	NOT_LOAD_BEARING_GAUGE_SEPARATION_CAN_MIX_WITH_SKEW_L1
dlog_abs_t1	S3_first_Cartan_contact_coefficient_t1	1	REGISTERED_SPLIT_RELATIVE_O2_AND_ORIENTATION_SAFE	dphi-dsigma	DERIVED_IN_S3_FAMILY
dlog_abs_t0	S3_first_Cartan_coefficient_t0	1	REGISTERED_SPLIT_RELATIVE_NONZERO_ALPHA_ONLY	-dphi-dsigma	STRATUM_ONLY_NOT_REQUIRED
minus_dphi_wedge_dlog_abs_t1	founded_phi_plus_actual_S3_contact_scalar	2	REGISTERED_SPLIT_RELATIVE_O2_AND_ORIENTATION_SAFE	dphi_wedge_dsigma	CARTAN_CONTACT_DIFFERENTIAL_INVARIANT_FIXED_COEFFICIENT_1
lambda_from_phi_log_t1	antisymmetric_primitive_of_founded_phi_and_actual_contact_log	1	REGISTERED_SPLIT_RELATIVE_REFERENCE_EXACT_AMBIGUITY	equals_lambda_plus_d_of_B_phi_over_2	AVAILABLE_PRIMITIVE_NOT_SELECTED_CONNECTION
Levi_Civita_connection_scalar_one_form	connection	1	INHOMOGENEOUS_LOCAL_FRAME_GAUGE	NOT_TENSOR	NO_OBSERVER_NATURAL_ONE_FORM_WITHOUT_REDUCTION
Levi_Civita_curvature_alternating_projection	exact_isotropic_complete_S3_subfamily	2	REGISTERED_SPLIT_COMPONENT_CENSUS	nonzero_alternating_slots=0	CENSUSED_NOT_A_PRIMITIVE
FC07_alternating_object	constant_phi_complete_mapping_tori	2	COMPLETE_BRANCH	ZERO	PULLBACK_COLLAPSE
