premise_id	object	status	classification	scope_or_consequence
P01	founded_phi	DERIVED	pinned-by-THEORY	real_single_valued_depth_field_in_current_coframe_arena
P02	reciprocal_clock_ruler_pair	DERIVED	pinned-by-THEORY	registered_pair_structure_only_not_response_selection
P03	observer_frame_Reciprocity	DERIVED_REQUIREMENT	pinned-by-THEORY	naturality_gate_not_a_preferred_response
P04	c_E	OBSERVED_SCALE_ANCHOR	pinned-by-THEORY	retained_scale_not_used_to_fit_coefficients
P05	S3_complete_cell	CHOSE_EXISTENCE_CONTROL	pinned-by-HABIT	not_selected_topology_or_physical_branch
P06	stationarity_E0_phi_E0_P_zero	CHOSE_BOUNDED_SLICE	pinned-by-HABIT	time_live_and_temporal_first_jets_excluded
P07	block_pair_screen_split	CHOSE_BOUNDED_COFAME	pinned-by-HABIT	split_relative_outputs_require_naturality_audit
P08	P_in_GL2_on_S3	FREE_FIRST_JET_FAMILY	free-and-explored	all_area_two_shear_and_gauge_rotation_slots
P09	finite_smooth_phi_on_S3	FREE_FIRST_JET_FAMILY	free-and-explored	constant_and_nonconstant_pullbacks_retained
P10	kappa_nonzero_Maurer_Cartan_coefficient	CHOSE_S3_STRUCTURE	pinned-by-THEORY-within-chosen-S3	may_not_be_promoted_to_universal_UDT_value
P11	alpha_pair_twist	FREE_OR_STRATIFIED	free-and-explored	zero_and_nonzero_t0_strata_retained
P12	D0_positive_reference	ARBITRARY_REFERENCE	pinned-by-HABIT	constant_change_must_be_exact_only
P13	FC07_mapping_torus_family	CHOSE_COMPLETE_CONTROL	pinned-by-HABIT	eight_monodromies_and_all_frozen_strata_retained
P14	FC07_constant_phi0	CHOSE_BOUNDED_SLICE	pinned-by-HABIT	mandatory_alternating_pullback_collapse_control
P15	local_O2_screen_angle	COFRAME_GAUGE	presentation_direction	connection_shift_must_not_be_called_tensor
P16	screen_orientation	ORIENTATION_STRATUM	free-and-explored	sign_and_absolute_log_descent_audited
P17	S2_carrier	POSIT	excluded	no_carrier_statement
P18	action_or_field_equation	OPEN	excluded	no_dynamics_or_selection_statement
P19	source_matter_density_return	OPEN	excluded	no_density_bracket_or_bootstrap_closure
P20	boundary_or_seal_functional	OPEN	excluded	compact_complete_controls_only

