branch	condition	formal_quotient_rank	pullback_rank	cartan_log_route	ruling
S3_GENERAL_SCREEN_FORMAL_FREE	p_and_dsigma_independent	1	1	founded_phi;log_abs_t1	CONSTRUCTIVE_COMPLETE_S3_WITNESS_EXISTS
S3_GENERAL_SCREEN_FUNCTIONAL_DEPENDENCE	sigma=F(phi)	1	0	collapses	DPHI_WEDGE_DSIGMA_ZERO
S3_GENERAL_SCREEN_CONSTANT_PHI	dphi=0	1	0	collapses	ZERO
S3_GENERAL_SCREEN_CONSTANT_AREA	dsigma=0	1	0	collapses	ZERO
S3_GENERAL_SCREEN_ALPHA_ZERO	t0=0_but_t1_nonzero	1	0_OR_1	founded_phi;log_abs_t1	T0_AND_M_NOT_REQUIRED
S3_GENERAL_SCREEN_ORIENTATION_MINUS	detP_less_than_0	1	0_OR_1	founded_phi;log_abs_t1	LOG_ABS_T1_SAME_ON_CONNECTED_ORIENTATION_STRATUM
S3_GENERAL_SCREEN_DEGENERATE	detP=0	1	UNDEFINED	undefined	FOUR_METRIC_DEGENERATE_BOUNDARY
FC07_MAPPING_TORUS_ALL_EIGHT	phi=phi0_constant	1	0	not_S3_structure	MANDATORY_COLLAPSE_CONTROL
LOCAL_TRIANGULAR_CARTAN_CONTROL	not_actual_complete_global_family	1	0_OR_1	p_and_common_screen_channels	LOCAL_ALGEBRA_CONTROL_ONLY
FC01_FC06_FC08_FC12_TAXONOMY_ROWS	no_actual_joined_first_Cartan_coframe_in_frozen_sources	UNASSESSED	UNASSESSED	missing	BLOCKED_MISSING_ACTUAL_CARTAN_DATA
