id	object	g166_class
S01	founded reciprocal representation	PRIMARY_UDT_METRIC_INPUT
S02	declared Lorentzian pair readout	PRIMARY_UDT_METRIC_INPUT
S03	recorded static spherical metric	DERIVED_CONDITIONAL_REALIZATION
S04	regular pair density decomposition	ALGEBRAIC_KERNEL_DESCENT
S05	terminal reciprocal c_E ratio	ALGEBRAIC_KERNEL_DESCENT
S06	normalized chi chart	WORKING_POSITION_CONSTITUTION
S07	orchestra-before-readout	CONDITIONAL_COMPLETE_ASSEMBLY
S08	uncompressed E and J envelope	CONDITIONAL_CONFIGURATION_ENVELOPE
S09	arbitrary pair realization	NOT_REQUIRED_AS_A_FIXED_PATH_FOR_LOCAL_KERNEL
S10	general observer network calibration carry	OPEN_GLOBAL_EXTENSION
S11	X_max	DOWNSTREAM_GLOBAL_CONSEQUENCE_TARGET
S12	G164 scaffold subtraction	PONDER_PARENT
S13	G165 conformal family	BROADER_ENVELOPE_CONTROL_NOT_FOUNDED_FREEDOM
