source_id	path	bytes	sha256	role
A01	CURRENT_SCIENTIFIC_PREMISES.tsv	6798	69342e40bc69cb89022efa8a3c68db63214040e3efe0f001278d995cd4c7ec0f	current premise authority
A02	P4_ARC_SUMMARY_2026-07-31.md	14889	85f5b9e7ce6619ba0b286c71291a3eaee61779fcdb81980c0241d0e24a3b2bb8	P4 package and scope index
A03	udt_p4_routeA_slice2b_full_cell_2026-07-29/AUDIT_REPORT.md	16739	77ecaf12d7c184742255d8de81907e8cf6657c463096c2bc6e623319017da0aa	mass-reading and census atlas
A04	udt_p4_bookkeeping_forcing_2026-07-29/AUDIT_REPORT.md	15751	184dc0d4f65035947c5df58286f5ff2745670bedb33bd6af16c7a9048159931c	constants/fields census fork
A05	udt_p4_gradient_seat_2026-07-29/AUDIT_REPORT.md	17519	6be802dd721aec7b42f126de235451af2476f838667acd11f70cbefaae4c09f4	F02 landing and mass readings
A06	udt_p4_angular_completion_2026-07-30/AUDIT_REPORT.md	15720	38e53d1efdf4f2fe6ae21bb0f316cd70250fe3a4807c50021615b461195f1241	F02 completion cut
A07	udt_p4_period_gate_2026-07-30/AUDIT_REPORT.md	18474	f977814725c0333c954c9ed24b72b802cc8891924f073deb05edf62a45b3a4d7	global completion branches
A08	udt_p4_stability_slice_2026-07-30/AUDIT_REPORT.md	14574	fd68aa8b1c1858358317e07d9415cb44792f2339938c1bd7d3ac8b74fecc9ae9	F01/F02 sector Hessians
A09	udt_p4_timelive_stage_T1_2026-07-31/AUDIT_REPORT.md	15520	01862b94cb823c3fccd408d078111392bedaba5259ce2dc663eecfd590c1392a	bounded everything-on time posing
A10	udt_p4_timelive_stage_T3_2026-07-31/AUDIT_REPORT.md	15357	13ca285bd8497f326e1ae16a34cc9db51debc7da817f467e7ab4f0a13a12142e	time branch and mass compatibility
A11	udt_p4_angular_stage_A3_2026-07-31/AUDIT_REPORT.md	11350	a1a7e875a60e9c63e6d05583abcab6012f0677c90fe113d99d172b5dd50c5bb3	angular-live census
A12	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	10290	df0171eb83d75ad175727a8db541df8500b7826edf6059ae63a52f1a1ba15bea	F04 carrier/topology/stability scope
A13	udt_stability_family_survivor_map_2026-08-01/AUDIT_REPORT.md	6906	dedfd4ee52dda0dd56dae220bcd08b7167195c88ff9b8cf27a72ed3b4e641ee6	seven-label survivor map
A14	udt_stability_family_ontology_audit_2026-08-01/AUDIT_REPORT.md	12203	f65dcf8e86c2a191ce10f42044419514d6c87ba69d64a8d3c3fb4b7dd55583bb	corrected object ontology
A15	udt_stability_derivation_closure_sweep_2026-08-01/AUDIT_REPORT.md	4881	2697530272ff6db9c3c18103301bdcc7295b34dd77f0839ee8645b0752020dfc	upstream missing-law sweep
A16	udt_native_stability_configuration_space_audit_2026-08-01/AUDIT_REPORT.md	4423	657c68e73a374adb61da285f79135c39de4264c1ff31ca8b8bfabaee0bc10972	native parent arena and realization gate
A17	udt_f01_lambda_schur_check_2026-08-01/AUDIT_REPORT.md	4442	be7e07d2db43081c28d13120cf6a17131026845b0290de04c4f4645919b8f5c1	current F01 local index correction
A18	udt_stability_action_boundary_bridge_audit_2026-08-01/AUDIT_REPORT.md	4536	222fa78eed00ff49e421d8919eb09fffeb4cee8d2ee303e2f7a0506f6506e20f	action/boundary bridge status
A19	udt_f01_second_wall_inverse_stability_2026-08-01/AUDIT_REPORT.md	5183	8f841762a88bbec3dc234e18af13745d8a51dc7ed029b6bb6cdd21546cb0eda2	conditional F01 inverse surface
A20	udt_p4_cold_adversarial_review_2026-08-01/AUDIT_REPORT.md	37386	6f389c914007aff0b8eded3ffa02ba386a8c7b580235674b2bae51649991704c	P4 common-realization caveat
