axis_id	bounded_layer	structure_state	affected_objects	exact_effect	selection_status	source_basis
M01	P4_QUADRATIC_STATIC_RESPONSE	INTEGRATED_MODULI_ROWS	F01	ADMITS_I_P_ZERO_E0_NONZERO_BRANCH_WITH_ALL_FOUR_LABELED_MASS_READINGS_NONZERO	CENSUS_FORK_OPEN	A03;A04
M02	P4_QUADRATIC_STATIC_RESPONSE	POINTWISE_MODULI_ROWS	F01	FORCES_E0_ZERO_AND_REMOVES_THE_F01_NONZERO_BRANCH	CENSUS_FORK_OPEN	A03;A04
M03	P4_FIELD_MODULI	P1_4D_LOCKED_AFFINE_LANDING	F02	ADMITS_GENERIC_E0_NONZERO_WITH_THREE_AGREEING_CANDIDATE_READINGS_AND_ZERO_WALL_READING	CONDITIONAL_FULL_CUTTING_CONDITIONS	A05
M04	P4_FIELD_MODULI_STABILITY	NO_M_JET	F02	EXACT_UNSTABLE_WITNESS_FOR_E0_NONZERO	CONDITIONAL_SECTOR	A08
M05	P4_FIELD_MODULI_STABILITY	JET_QUADRATIC_STIFFNESS	F02	SECTOR_NONNEGATIVE_IFF_64_E0_SQ_ELL_4_LE_G_P_C_M_PI_4	COEFFICIENTS_AND_FULL_REALIZATION_NOT_SELECTED	A08;A13
M06	F01_LOCAL_HESSIAN	FREE_ANGULAR_WALL_TRACES_GERM_FLAT	F01	FIELD_BLOCK_HAS_INDEX_ONE_AND_POSITIVE_MODULUS_SCHUR_LEAVES_JOINT_INDEX_ONE	SUPPLIED_CONDITIONAL_DOMAIN	A08;A17
M07	F01_LOCAL_HESSIAN	ODD_ZERO_ANGULAR_TRACES_GERM_FLAT	F01	REDUCED_FIELD_CORE_POSITIVE_BUT_RESTORED_MU_GIVES_NEGATIVE_JOINT_WITNESS_AND_INDEX_ONE	SUPPLIED_CONDITIONAL_DOMAIN	A08;A17
M08	F01_RESTRICTED_WALL_HESSIAN	FINITE_ANGULAR_RESPONSE_TAU_PLUS_DIRECT_CURVATURE_ETA	F01	ABOVE_THE_FIELD_CROSSING_NONNEGATIVE_IFF_ETA_EXCEEDS_EXACT_THRESHOLD_IN_DECLARED_TWO_PARAMETER_SLICE	RESPONSES_NOT_SELECTED_COMPLETE_HESSIAN_OPEN	A19
M09	P4_GLOBAL_COMPLETION	MIXED_CREASE_GLUE	F01;F05	CERTIFIES_A_CONDITIONAL_F01_MASS_BEARING_COMPLETION	POSTURE_AND_PHYSICAL_BOUNDARY_NOT_SELECTED	A07;A08
M10	P4_GLOBAL_COMPLETION	DOUBLE_CREASE_OR_CYCLIC_N1	F01;F06	NONZERO_MASSIVE_SCOPE_EMPTY	EXACT_SCOPED_NEGATIVE	A07;A08
M11	P4_GLOBAL_COMPLETION	ALL_DEFINITE_CYCLIC_VS_MIXED_SIGN	F01;F02;F05	ALL_DEFINITE_CYCLIC_FORCES_EACH_E0_ZERO__MIXED_SIGN_ESCAPE_REMAINS_CONDITIONAL	COMPLETION_DATA_NOT_SELECTED	A07;A15
M12	TIME_LIVE_T1_TO_T3	EVERYTHING_ON_WITHIN_TIME_JET_LE_2_REGISTERED_LAYER	F01;F02;F07	STATIC_RESPONSE_ARCHITECTURE_EMBEDS_AND_MASSIVE_IMPLIES_NONUNIFORM_PROPER_PERIOD_ON_LOOP_BRANCH__NO_COMMON_ONSHELL_SOLUTION	FORMAL_BOUNDED_LAYER_ONLY	A09;A10;A20
M13	ANGULAR_LIVE_A1_TO_A3	FULL_REGISTERED_SMOOTH_TORUS_TO_TWO_CAP_S3_CENSUS	F01;F02;F07	NO_SOLUTION_DEPENDENT_NATIVE_INTEGER_CUTS_E0_OR_MODULI__COMPLETION_JOIN_AND_ONSHELL_COEXISTENCE_OPEN	FORMAL_BOUNDED_LAYER_ONLY	A11;A20
M14	HOPFION_STATIC_MODEL	ROUND_S2_PLUS_L2_L4_PLUS_FINITE_BOX	F04	SUPPLIES_NONZERO_STATIC_ENERGY_AND_CONDITIONAL_STATIC_STABILITY	POSIT_AND_CONDITIONAL_NOT_METRIC_NATIVE	A12;A14;A16
M15	ACTION_BOUNDARY_BRIDGE	C2_BACH_OR_EH_OR_TWO_STAGE	F01	PARTIAL_ANALOGIES_ONLY_AND_ZERO_EXACT_F01_SECOND_WALL_GERM_MAPS	C2_INACTIVE_WITHOUT_STRONG_CSN__EH_CONDITIONAL__BRIDGE_OPEN	A01;A18
M16	GLOBAL_LOCAL_BOOTSTRAP	WORKING_SCHEMA_NO_RETURN_MAP	F01;F02;F04;F05;F07	SELECTS_NO_FAMILY_RESPONSE_BOUNDARY_OR_MASS_VALUE	WORKING_POSIT_OPERATION_OPEN	A01;A15;A16
